DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               species                   MPVPosition               OutletValve               solenoid_valves           N2O                       N2O_30s                   N2O_1min                  N2O_5min                  N2O_dry                   N2O_dry30s                N2O_dry1min               N2O_dry5min               CO2                       CO2_dry                   CH4                       CH4_dry                   H2O                       NH3                       O2                        O2_dry                    ChemDetect                peak_1a                   peak_41                   peak_4                    peak15                    ch4_splinemax             nh3_conc_ave              
2022-05-20                12:10:37.194              139.46570828              3347.176999               140.46570828              1653073837.195            0                         963                       1.3999972421E+02          4.4925773621E+01          2.5875000000E+01          4.4869377136E+01          4.4796470642E+01          2.5000000000E+01          0.0000000000E+00          3.7339443816E+04          0.0000000000E+00          2.3263480179E-01          2.3263480179E-01          2.3263480179E-01          2.3263480179E-01          2.3604293767E-01          2.3604293767E-01          2.3604293767E-01          2.3604293767E-01          4.2907220929E+02          4.3559849862E+02          2.0573470634E+00          2.0802135092E+00          8.7097086181E-01          2.6367910846E+00          2.1085706242E+01          2.1294559645E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          4.4329364225E+02          0.0000000000E+00          
2022-05-20                12:10:38.348              139.46572162              3347.177319               140.46572162              1653073838.348            0                         963                       1.3999877900E+02          4.4925773621E+01          2.5856991525E+01          4.4869377136E+01          4.4796470642E+01          4.7000000000E+01          0.0000000000E+00          3.7337935722E+04          0.0000000000E+00          2.3263471639E-01          2.3263475909E-01          2.3263475909E-01          2.3263475909E-01          2.3604285106E-01          2.3604289437E-01          2.3604289437E-01          2.3604289437E-01          4.2907223597E+02          4.3559852592E+02          2.0579344302E+00          2.0808074537E+00          8.7097089003E-01          2.6367903874E+00          2.1085706242E+01          2.1294559652E+01          0.0000000000E+00          4.5045721877E-01          0.0000000000E+00          1.0336075348E+00          0.0000000000E+00          4.4329364225E+02          0.0000000000E+00          
2022-05-20                12:10:39.767              139.46573806              3347.177713               140.46573806              1653073839.768            0                         963                       1.3999926450E+02          4.4926407905E+01          2.5875000000E+01          4.4875620489E+01          4.4801532484E+01          2.0000000000E+00          0.0000000000E+00          3.7336373207E+04          0.0000000000E+00          2.2623723272E-01          2.3050225030E-01          2.3050225030E-01          2.3050225030E-01          2.2954601822E-01          2.3387726898E-01          2.3387726898E-01          2.3387726898E-01          4.2907648069E+02          4.3560283548E+02          2.0586627067E+00          2.0815438857E+00          8.7097692188E-01          2.6367969253E+00          2.1078624895E+01          2.1287408173E+01          0.0000000000E+00          4.5045721877E-01          0.0000000000E+00          1.0336075348E+00          5.2385354098E+01          4.4329364225E+02          2.6304913407E+00          
2022-05-20                12:10:40.411              139.46574550              3347.177892               140.46574550              1653073840.411            0                         963                       1.4000006421E+02          4.4927330017E+01          2.5875000000E+01          4.4884696960E+01          4.4808891296E+01          4.6000000000E+01          0.0000000000E+00          3.7337247274E+04          0.0000000000E+00          2.2334929096E-01          2.2871401047E-01          2.2871401047E-01          2.2871401047E-01          2.2661881961E-01          2.3206265664E-01          2.3206265664E-01          2.3206265664E-01          4.2907650032E+02          4.3561407685E+02          2.0589904883E+00          2.0819144764E+00          8.7245163445E-01          2.7021840933E+00          2.1078624895E+01          2.1287752623E+01          0.0000000000E+00          4.5045721877E-01          5.7976687175E+01          1.0336075348E+00          5.2385354098E+01          4.4329364225E+02          2.6304913407E+00          
2022-05-20                12:10:41.434              139.46575734              3347.178176               140.46575734              1653073841.434            0                         963                       1.3999998252E+02          4.4927330017E+01          2.5875000000E+01          4.4884696960E+01          4.4808891296E+01          4.7000000000E+01          0.0000000000E+00          3.7337660090E+04          0.0000000000E+00          2.1875492433E-01          2.2672219324E-01          2.2672219324E-01          2.2672219324E-01          2.2196165618E-01          2.3004245655E-01          2.3004245655E-01          2.3004245655E-01          4.2930063613E+02          4.3585943094E+02          2.0594992246E+00          2.0824910037E+00          8.7479023370E-01          2.8062178328E+00          2.1078642021E+01          2.1288316089E+01          0.0000000000E+00          4.2941906839E-01          5.7976687175E+01          1.2948975994E+00          5.2385354098E+01          4.4329364225E+02          2.6304913407E+00          
2022-05-20                12:10:42.240              139.46576667              3347.178400               140.46576667              1653073842.240            0                         963                       1.3999998252E+02          4.4927330017E+01          2.5875000000E+01          4.4884696960E+01          4.4808891296E+01          4.7000000000E+01          0.0000000000E+00          3.7337660090E+04          0.0000000000E+00          2.1876733602E-01          2.2539638370E-01          2.2539638370E-01          2.2539638370E-01          2.2198109573E-01          2.2869889641E-01          2.2869889641E-01          2.2869889641E-01          4.2947724304E+02          4.3605277137E+02          2.0598997863E+00          2.0829450037E+00          8.7663300519E-01          2.8882142961E+00          2.1078642021E+01          2.1288746401E+01          0.0000000000E+00          4.2941906839E-01          5.7976687175E+01          1.2948975994E+00          5.2385354098E+01          4.4329364225E+02          2.6304913407E+00          
2022-05-20                12:10:42.558              139.46577035              3347.178488               140.46577035              1653073842.558            0                         963                       1.4000111389E+02          4.4927330017E+01          2.5875000000E+01          4.4884696960E+01          4.4808891296E+01          2.5000000000E+01          0.0000000000E+00          3.7339164062E+04          0.0000000000E+00          2.2714671857E-01          2.2564643154E-01          2.2564643154E-01          2.2564643154E-01          2.3049426476E-01          2.2895537760E-01          2.2895537760E-01          2.2895537760E-01          4.2954693785E+02          4.3612907233E+02          2.0600572032E+00          2.0831235044E+00          8.7736010753E-01          2.9206352745E+00          2.1078642021E+01          2.1288916176E+01          0.0000000000E+00          4.2941906839E-01          5.7976687175E+01          1.2948975994E+00          5.2385354098E+01          4.4387969622E+02          2.6304913407E+00          
2022-05-20                12:10:43.581              139.46578219              3347.178773               140.46578219              1653073843.581            0                         963                       1.4000017221E+02          4.4927330017E+01          2.5875000000E+01          4.4884696960E+01          4.4808891296E+01          4.7000000000E+01          0.0000000000E+00          3.7337352593E+04          0.0000000000E+00          2.5409909803E-01          2.2920301485E-01          2.2920301485E-01          2.2920301485E-01          2.5787846654E-01          2.3257076372E-01          2.3257076372E-01          2.3257076372E-01          4.2976264341E+02          4.3636591378E+02          2.0602815333E+00          2.0834124989E+00          8.7968723112E-01          3.0247931095E+00          2.1092849619E+01          2.1303812031E+01          0.0000000000E+00          4.8908725766E-01          5.7976687175E+01          8.7244359011E-01          5.2385354098E+01          4.4387969622E+02          2.6304913407E+00          
2022-05-20                12:10:44.374              139.46579137              3347.178993               140.46579137              1653073844.374            0                         963                       1.4000017221E+02          4.4927330017E+01          2.5875000000E+01          4.4884696960E+01          4.4808891296E+01          4.7000000000E+01          0.0000000000E+00          3.7337352593E+04          0.0000000000E+00          2.5411133013E-01          2.3197060544E-01          2.3197060544E-01          2.3197060544E-01          2.5789877376E-01          2.3538498706E-01          2.3538498706E-01          2.3538498706E-01          4.2993638876E+02          4.3655615876E+02          2.0604638533E+00          2.0836450575E+00          8.8150077046E-01          3.1054635624E+00          2.1092849619E+01          2.1304235681E+01          0.0000000000E+00          4.8908725766E-01          5.7976687175E+01          8.7244359011E-01          5.2385354098E+01          4.4387969622E+02          2.6304913407E+00          
2022-05-20                12:10:44.973              139.46579831              3347.179159               140.46579831              1653073844.974            0                         963                       1.3999580112E+02          4.4928955078E+01          2.5875000000E+01          4.4895649427E+01          4.4817528607E+01          2.0000000000E+00          0.0000000000E+00          3.7331600853E+04          0.0000000000E+00          2.4163743037E-01          2.3293728793E-01          2.3293728793E-01          2.3293728793E-01          2.4523444878E-01          2.3636993323E-01          2.3636993323E-01          2.3636993323E-01          4.3007190378E+02          4.3670422931E+02          2.0606069882E+00          2.0838262730E+00          8.8287891966E-01          3.1664665630E+00          2.1086026213E+01          2.1297664331E+01          0.0000000000E+00          4.8908725766E-01          5.7976687175E+01          8.7244359011E-01          5.3073360478E+01          4.4387969622E+02          3.1603194934E+00          
