Function ID	Function Name	Soil microbial communitie 3300051019	Soil microbial communitie 3300051162	Soil microbial communitie 3300051161	Soil microbial communitie 3300051208	Soil microbial communitie 3300051207	Soil microbial communitie 3300051206	Soil microbial communitie 3300052722	Soil microbial communitie 3300052920	Soil microbial communitie 3300052919	Soil microbial communitie 3300056874	Soil microbial communitie 3300056859	Soil microbial communitie 3300056873	Soil microbial communitie 3300056968	Soil microbial communitie 3300056860	Soil microbial communitie 3300056967	Soil microbial communitie 3300060290	Soil microbial communitie 3300056875	Soil microbial communitie 3300056969	Soil microbial communitie 3300056594	Soil microbial communitie 3300056862	Soil microbial communitie 3300056861	Soil microbial communitie 3300056611	Soil microbial communitie 3300056619	Soil microbial communitie 3300056620	Soil microbial communitie 3300056618	Soil microbial communitie 3300056612	Soil microbial communitie 3300056595	Soil microbial communitie 3300060274	Soil microbial communitie 3300061209	Soil microbial communitie 3300061208	Soil microbial communitie 3300060272	Soil microbial communitie 3300060271	Soil microbial communitie 3300060275	Soil microbial communitie 3300060276	Soil microbial communitie 3300061215	Soil microbial communitie 3300061210	
KO:K00001	alcohol dehydrogenase [EC:1.1.1.1]	1837	1431	1218	1126	1319	1454	1985	2216	1146	2566	640	883	2002	1312	1395	1047	951	1429	1508	1598	1022	925	1565	859	1229	1219	1038	750	2780	2007	570	1046	1147	1290	2082	1496	
KO:K00002	alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	410	225	194	141	269	274	233	214	220	293	45	213	203	355	363	91	177	247	265	227	157	95	201	116	148	266	245	159	363	394	104	226	142	138	330	297	
KO:K00003	homoserine dehydrogenase [EC:1.1.1.3]	14110	8442	6142	5625	7240	8315	9642	10807	7383	13280	3401	6355	10260	7144	7903	6137	5843	7419	10246	9123	5450	10091	10168	5601	12087	7216	6397	5133	13352	10179	3965	6254	6907	7136	11341	7802	
KO:K00004	(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]	2753	1649	1152	597	776	826	1841	1687	710	2729	596	807	2042	699	868	1092	811	693	2200	1035	510	2074	1522	706	2935	838	560	395	2021	985	664	656	807	1113	1563	608	
KO:K00005	glycerol dehydrogenase [EC:1.1.1.6]	1642	803	682	407	505	505	1202	1356	570	1353	404	688	1204	493	574	619	644	395	908	990	353	1256	1027	511	1264	685	487	316	1746	887	485	426	669	765	1360	475	
KO:K00006	glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]	0	0	0	0	0	0	0	0	0	23	0	0	21	0	0	7	0	0	6	0	0	0	0	0	0	0	0	0	5	0	0	0	0	8	0	0	
KO:K00007	D-arabinitol 4-dehydrogenase [EC:1.1.1.11]	0	6	14	52	152	162	7	21	74	8	0	64	6	122	165	0	6	157	0	72	88	0	40	79	0	98	132	86	14	167	0	54	0	0	48	198	
KO:K00008	L-iditol 2-dehydrogenase [EC:1.1.1.14]	26474	15297	8504	5427	6205	5990	14719	13811	5280	19549	3968	7488	14712	5741	6554	8020	7204	5257	15365	10203	4659	18454	13162	5873	24452	7212	4863	3542	19223	8473	5383	5172	8347	9723	14533	5602	
KO:K00009	mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	1172	742	411	226	237	177	906	809	244	705	96	250	580	152	182	246	210	89	652	377	82	483	303	48	661	195	140	126	1251	460	228	144	412	431	705	173	
KO:K00010	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	13197	8062	4349	3699	5120	6897	8158	8312	5467	8617	1852	5256	7284	4925	5665	3340	3519	5089	8460	5612	3119	7261	6260	3310	8701	4371	3853	3267	10253	7573	2467	3765	4793	4435	8317	4815	
KO:K00012	UDPglucose 6-dehydrogenase [EC:1.1.1.22]	11816	7181	5244	5263	7184	9028	8518	9348	6531	11196	2748	6200	8597	7594	8659	5432	5087	7705	8477	8184	5898	8737	8871	5212	10405	7116	6321	5103	11832	9741	3573	6165	5897	5947	10069	7995	
