Year,Month,Day,wsel_ft,Date,Datep
1993,2,24,20.09,02/24/1993 12:00:00 AM,02/24/2000 12:00:00 AM
1993,2,25,20.1626,02/25/1993 12:00:00 AM,02/25/2000 12:00:00 AM
1993,2,26,20.1876,02/26/1993 12:00:00 AM,02/26/2000 12:00:00 AM
1993,2,27,20.2104,02/27/1993 12:00:00 AM,02/27/2000 12:00:00 AM
1993,2,28,20.2552,02/28/1993 12:00:00 AM,02/28/2000 12:00:00 AM
1993,3,1,20.2885,03/01/1993 12:00:00 AM,03/01/2000 12:00:00 AM
1993,3,2,20.31,03/02/1993 12:00:00 AM,03/02/2000 12:00:00 AM
1993,3,3,20.3865,03/03/1993 12:00:00 AM,03/03/2000 12:00:00 AM
1993,3,4,20.373,03/04/1993 12:00:00 AM,03/04/2000 12:00:00 AM
1993,3,5,20.3704,03/05/1993 12:00:00 AM,03/05/2000 12:00:00 AM
1993,3,6,20.383,03/06/1993 12:00:00 AM,03/06/2000 12:00:00 AM
1993,3,7,20.4417,03/07/1993 12:00:00 AM,03/07/2000 12:00:00 AM
1993,3,8,20.4474,03/08/1993 12:00:00 AM,03/08/2000 12:00:00 AM
1993,3,9,20.4843,03/09/1993 12:00:00 AM,03/09/2000 12:00:00 AM
1993,3,10,20.5091,03/10/1993 12:00:00 AM,03/10/2000 12:00:00 AM
1993,3,11,20.5287,03/11/1993 12:00:00 AM,03/11/2000 12:00:00 AM
1993,3,12,20.5722,03/12/1993 12:00:00 AM,03/12/2000 12:00:00 AM
1993,3,13,20.5926,03/13/1993 12:00:00 AM,03/13/2000 12:00:00 AM
1993,3,14,20.6527,03/14/1993 12:00:00 AM,03/14/2000 12:00:00 AM
1993,3,15,20.7,03/15/1993 12:00:00 AM,03/15/2000 12:00:00 AM
1993,3,16,20.6888,03/16/1993 12:00:00 AM,03/16/2000 12:00:00 AM
1993,3,17,20.7135,03/17/1993 12:00:00 AM,03/17/2000 12:00:00 AM
1993,3,18,20.6905,03/18/1993 12:00:00 AM,03/18/2000 12:00:00 AM
1993,3,19,20.7909,03/19/1993 12:00:00 AM,03/19/2000 12:00:00 AM
1993,3,20,20.8857,03/20/1993 12:00:00 AM,03/20/2000 12:00:00 AM
1993,3,21,20.9083,03/21/1993 12:00:00 AM,03/21/2000 12:00:00 AM
1993,3,22,20.9874,03/22/1993 12:00:00 AM,03/22/2000 12:00:00 AM
1993,3,23,20.9691,03/23/1993 12:00:00 AM,03/23/2000 12:00:00 AM
1993,3,24,20.9783,03/24/1993 12:00:00 AM,03/24/2000 12:00:00 AM
1993,3,25,21.0143,03/25/1993 12:00:00 AM,03/25/2000 12:00:00 AM
1993,3,26,21.0457,03/26/1993 12:00:00 AM,03/26/2000 12:00:00 AM
1993,3,27,21.0432,03/27/1993 12:00:00 AM,03/27/2000 12:00:00 AM
1993,3,28,21.0774,03/28/1993 12:00:00 AM,03/28/2000 12:00:00 AM
1993,3,29,21.1604,03/29/1993 12:00:00 AM,03/29/2000 12:00:00 AM
1993,3,30,21.1804,03/30/1993 12:00:00 AM,03/30/2000 12:00:00 AM
1993,3,31,21.117,03/31/1993 12:00:00 AM,03/31/2000 12:00:00 AM
1993,4,1,21.1839,04/01/1993 12:00:00 AM,04/01/2000 12:00:00 AM
1993,4,2,21.2173,04/02/1993 12:00:00 AM,04/02/2000 12:00:00 AM
1993,4,3,21.2409,04/03/1993 12:00:00 AM,04/03/2000 12:00:00 AM
1993,4,4,21.2383,04/04/1993 12:00:00 AM,04/04/2000 12:00:00 AM
1993,4,5,21.2959,04/05/1993 12:00:00 AM,04/05/2000 12:00:00 AM
1993,4,6,21.3343,04/06/1993 12:00:00 AM,04/06/2000 12:00:00 AM
1993,4,7,21.3309,04/07/1993 12:00:00 AM,04/07/2000 12:00:00 AM
1993,4,8,21.3517,04/08/1993 12:00:00 AM,04/08/2000 12:00:00 AM
1993,4,9,21.3361,04/09/1993 12:00:00 AM,04/09/2000 12:00:00 AM
1993,4,10,21.323,04/10/1993 12:00:00 AM,04/10/2000 12:00:00 AM
1993,4,11,21.3774,04/11/1993 12:00:00 AM,04/11/2000 12:00:00 AM
1993,4,12,21.4068,04/12/1993 12:00:00 AM,04/12/2000 12:00:00 AM
1993,4,13,21.418,04/13/1993 12:00:00 AM,04/13/2000 12:00:00 AM
1993,4,15,21.4433,04/15/1993 12:00:00 AM,04/15/2000 12:00:00 AM
1993,4,16,21.4547,04/16/1993 12:00:00 AM,04/16/2000 12:00:00 AM
1993,4,17,21.4657,04/17/1993 12:00:00 AM,04/17/2000 12:00:00 AM
1993,4,18,21.5357,04/18/1993 12:00:00 AM,04/18/2000 12:00:00 AM
1993,4,19,21.5619,04/19/1993 12:00:00 AM,04/19/2000 12:00:00 AM
1993,4,20,21.5487,04/20/1993 12:00:00 AM,04/20/2000 12:00:00 AM
1993,4,21,21.6295,04/21/1993 12:00:00 AM,04/21/2000 12:00:00 AM
1993,4,22,21.65,04/22/1993 12:00:00 AM,04/22/2000 12:00:00 AM
1993,4,23,21.6465,04/23/1993 12:00:00 AM,04/23/2000 12:00:00 AM
1993,4,24,21.6483,04/24/1993 12:00:00 AM,04/24/2000 12:00:00 AM
1993,4,25,21.7486,04/25/1993 12:00:00 AM,04/25/2000 12:00:00 AM
1993,4,26,21.7091,04/26/1993 12:00:00 AM,04/26/2000 12:00:00 AM
1993,4,27,21.7145,04/27/1993 12:00:00 AM,04/27/2000 12:00:00 AM
1993,4,28,21.827,04/28/1993 12:00:00 AM,04/28/2000 12:00:00 AM
1993,4,29,21.8885,04/29/1993 12:00:00 AM,04/29/2000 12:00:00 AM
1993,4,30,21.8854,04/30/1993 12:00:00 AM,04/30/2000 12:00:00 AM
1993,5,1,21.8752,05/01/1993 12:00:00 AM,05/01/2000 12:00:00 AM
1993,5,2,21.9026,05/02/1993 12:00:00 AM,05/02/2000 12:00:00 AM
1993,5,3,21.9474,05/03/1993 12:00:00 AM,05/03/2000 12:00:00 AM
1993,5,4,21.9191,05/04/1993 12:00:00 AM,05/04/2000 12:00:00 AM
1993,5,5,21.8552,05/05/1993 12:00:00 AM,05/05/2000 12:00:00 AM
1993,5,6,21.9343,05/06/1993 12:00:00 AM,05/06/2000 12:00:00 AM
1993,5,7,21.9022,05/07/1993 12:00:00 AM,05/07/2000 12:00:00 AM
1993,5,8,21.8574,05/08/1993 12:00:00 AM,05/08/2000 12:00:00 AM
1993,5,9,21.8839,05/09/1993 12:00:00 AM,05/09/2000 12:00:00 AM
1993,5,10,21.9311,05/10/1993 12:00:00 AM,05/10/2000 12:00:00 AM
1993,5,11,21.9117,05/11/1993 12:00:00 AM,05/11/2000 12:00:00 AM
1993,5,12,21.8413,05/12/1993 12:00:00 AM,05/12/2000 12:00:00 AM
1993,5,13,21.8722,05/13/1993 12:00:00 AM,05/13/2000 12:00:00 AM
1993,5,14,21.9786,05/14/1993 12:00:00 AM,05/14/2000 12:00:00 AM
1993,5,15,21.9617,05/15/1993 12:00:00 AM,05/15/2000 12:00:00 AM
1993,5,16,21.8596,05/16/1993 12:00:00 AM,05/16/2000 12:00:00 AM
1993,5,17,21.873,05/17/1993 12:00:00 AM,05/17/2000 12:00:00 AM
1993,5,18,21.9191,05/18/1993 12:00:00 AM,05/18/2000 12:00:00 AM
1993,5,19,21.9165,05/19/1993 12:00:00 AM,05/19/2000 12:00:00 AM
1993,5,20,21.8977,05/20/1993 12:00:00 AM,05/20/2000 12:00:00 AM
1993,5,21,21.9571,05/21/1993 12:00:00 AM,05/21/2000 12:00:00 AM
