Sample ID,Depth,pH,H2S,Fe2,Fetot,NH4,Ca,Mg,Cl,NO2,NO3,SO4.IC,PO4,Lactate,Acetate,Propionate,Formate,Butyrate,month,SO4(uM),Acetate(uM),Lactate(uM),Propionate(uM),Butyrate(uM),Formate(uM),NH4(uM),Fe2(uM),Fetot(uM),Ca(uM),Mg(uM),Cl(uM),NO2(uM),NO3(uM),PO4(uM),Depth_group
1,0,7.17,21.427609426666667,0.85,0.97,94.89,27.37,12.07,8.925109495707014,0.0,0.1905683927932742,13.039232523100118,1.1724212852739138,0.36535555302358863,3.1660963324497677,0.0,0.31132575837640536,0.0,Oct,135.74050096918717,53.622659922257434,4.055900899462573,0.0,0.0,6.915737574169876,6.774615005675855,15.220700152207002,17.369504879577402,682.918309296871,496.6056367002675,251.74483106385958,0.0,3.0734408537595286,12.344993179777424,Top
2,0,7.85,5.9393939389999995,0.47,0.55,80.54,27.72,12.09,8.966009983518989,0.0,0.17356303411388652,13.833146234259324,0.8551673826710258,0.3808425442734896,2.6962129308500145,0.0,0.35840584067035186,0.0,Oct,144.00526997979728,45.664469393164666,4.227825757920622,0.0,0.0,7.961566534206007,5.7501053067460575,8.4161518488674,9.848688333781002,691.6512800039922,497.42851265171777,252.89848485372147,0.0,2.7991825503127417,9.004472743068185,Top
3,0,7.67,6.478114477666668,0.53,0.6,53.83,27.37,12.33,8.487474276118883,0.0,0.0,14.285764936746768,0.8486928132301506,0.0,2.3325440930127335,0.0,0.4085420459387146,0.0,Oct,148.71710323492366,39.505184151018454,0.0,0.0,0.0,9.07528369146577,3.8431607730586075,9.490554212552603,10.744023636852,682.918309296871,507.30302406912165,239.40073551233695,0.0,0.0,8.936298856604731,Top
4,-3,7.63,34.76094276,0.68,0.8,145.87,29.81,11.45,8.301377056574397,0.0,0.20757375147266188,5.601052033678638,0.9717096326067807,0.34677253623843224,2.6214168922971712,0.0,0.0,0.0,Oct,58.30784961147863,44.397684646994975,3.8496063081531107,0.0,0.0,0.0,10.414301727030635,12.176560121765602,14.325364849136003,743.7995907979439,471.09648220530755,234.1516107684652,0.0,3.3476991572063155,10.231602699410356,Top
5,-3,7.72,27.084175083333335,0.79,0.91,122.38,26.93,11.8,8.09994215410042,0.0,0.0,10.095013778764322,0.8843029451549644,0.0,2.465450422578981,0.0,0.0,0.0,Oct,105.09071183389882,41.75615511447363,0.0,0.0,0.0,0.0,8.737247174566457,14.146297788521801,16.295102515892204,671.939717550776,485.4968113556882,228.4698658533952,0.0,0.0,9.311255232153727,Top
6,-3,7.71,40.95622895666667,1.08,1.33,80.97,27.98,12.06,8.599950617601813,0.0,0.21891065725892034,9.091635748978241,0.8648792368323387,0.32199750998018106,2.5151163862597112,0.0,0.31436266954526726,0.0,Oct,94.64538568580305,42.59732379682459,3.574572712923857,0.0,0.0,6.983199003604576,5.780804900511898,19.339242546333605,23.815919061688604,698.1386296721392,496.1941987245423,242.5732834344572,0.0,3.5305380261708406,9.106733572763366,Top
7,-6,7.98,28.700336699999998,0.7,0.67,364.06,35.85,0.0,7.967015568711503,0.0,0.17545251841159626,4.051309032928751,1.0947264519834108,0.0,2.6780684735465083,0.0,0.0,0.0,Oct,42.17477652434677,45.35716539439246,0.0,0.0,0.0,0.0,25.991846759051025,12.534694242994,11.9974930611514,894.505713857977,0.0,224.72049103634396,0.0,2.8296556951401626,11.52690654221598,Top
8,-6,7.89,6.074074073666668,0.86,1.02,17.31,30.13,12.2,5.6438678609913335,0.0,0.0,4.02787246580966,0.0,0.0,2.1060028911292226,0.0,0.3356230308814224,0.0,Oct,41.93079810336935,35.66836412047325,0.0,0.0,0.0,7.455473063096662,1.2358371350853519,15.399767212821201,18.2648401826484,751.7840211587403,501.9543303846945,159.19295577218665,0.0,0.0,0.0,Top
9,-6,7.92,16.040404040000002,1.11,1.47,293.01,28.93,11.46,7.717522593058456,0.0,0.177342002709306,1.0792593651390334,1.046167181176846,0.0,1.1553166115445301,0.0,0.44957691997583676,0.0,Oct,11.235263014147755,19.56704511118031,0.0,0.0,0.0,9.986825420970671,20.91927434727666,19.876443728176206,26.322857910287404,721.8424073057538,471.5079201810328,217.68320291818623,0.0,2.8601288399675835,11.015602393740073,Top
10,-9,7.25,19.003367003333334,1.28,2.11,413.72,39.4,12.5,5.545706690242595,0.0,0.16978406551846703,0.45233119470335137,1.6806749863826225,0.0,2.2763547370415873,0.0,0.31436266954526726,0.0,Oct,4.708840253001784,38.553531892175116,0.0,0.0,0.0,6.983199003604576,29.537292866985087,22.920583758617603,37.7831497895962,983.0829881730624,514.2974696564493,156.42418667651805,0.0,2.7382362606579,17.69664326715856,Top
