phylo_level_val	Lineage	Soilmicrobialcommunitie3300051019	Soilmicrobialcommunitie3300051162	Soilmicrobialcommunitie3300051161	Soilmicrobialcommunitie3300051208	Soilmicrobialcommunitie3300051207	Soilmicrobialcommunitie3300051206	Soilmicrobialcommunitie3300052722	Soilmicrobialcommunitie3300052920	Soilmicrobialcommunitie3300052919	Soilmicrobialcommunitie3300056874	Soilmicrobialcommunitie3300056859	Soilmicrobialcommunitie3300056873	Soilmicrobialcommunitie3300056968	Soilmicrobialcommunitie3300056860	Soilmicrobialcommunitie3300056967	Soilmicrobialcommunitie3300060290	Soilmicrobialcommunitie3300056875	Soilmicrobialcommunitie3300056969	Soilmicrobialcommunitie3300056594	Soilmicrobialcommunitie3300056862	Soilmicrobialcommunitie3300056861	Soilmicrobialcommunitie3300056611	Soilmicrobialcommunitie3300056619	Soilmicrobialcommunitie3300056620	Soilmicrobialcommunitie3300056618	Soilmicrobialcommunitie3300056612	Soilmicrobialcommunitie3300056595	Soilmicrobialcommunitie3300060274	Soilmicrobialcommunitie3300061209	Soilmicrobialcommunitie3300061208	Soilmicrobialcommunitie3300060272	Soilmicrobialcommunitie3300060271	Soilmicrobialcommunitie3300060275	Soilmicrobialcommunitie3300060276	Soilmicrobialcommunitie3300061215	Soilmicrobialcommunitie3300061210
Bacteria:Chloroflexota:Anaerolineae:Anaerolineales	Bacteria:Chloroflexota:Anaerolineae:Anaerolineales	916495	730450	485148	313694	379942	403658	680100	743858	351405	87254	23750	42735	87334	39527	46399	44474	43952	35315	71250	66909	31046	37161	57203	27405	48273	41683	29663	27584	107580	59407	39704	38786	57229	63102	89276	36981
Archaea:Halobacteriota:Methanomicrobia:Methanomicrobiales	Archaea:Halobacteriota:Methanomicrobia:Methanomicrobiales	864374	620248	540954	372594	368484	237945	759750	910162	384737	61107	27786	29426	64746	29720	27366	43720	41990	17868	54621	53631	29529	26312	58304	38626	29648	40750	25115	23102	64596	40776	39650	39432	50257	51263	65074	26762
Bacteria:Pseudomonadota:Alphaproteobacteria:Rhizobiales	Bacteria:Pseudomonadota:Alphaproteobacteria:Rhizobiales	816207	523701	506466	830516	1585605	1697235	825219	1119897	726879	97453	39738	53960	90242	143548	175669	70610	54963	180727	60412	102961	118505	7774	132770	96974	23395	111623	118077	93897	90479	143597	29399	108171	59100	51418	106792	189754
Bacteria:Chloroflexota:Dehalococcoidia:Dehalococcoidales	Bacteria:Chloroflexota:Dehalococcoidia:Dehalococcoidales	444249	211268	102625	29801	16115	10020	157818	134115	20639	37220	6131	5587	26266	1126	1318	14330	9064	870	29437	13624	1774	29792	17294	5152	35397	4928	1461	751	19605	3074	6180	3097	9174	14231	16315	1217
Bacteria:Pseudomonadota:Gammaproteobacteria:Burkholderiales	Bacteria:Pseudomonadota:Gammaproteobacteria:Burkholderiales	394901	345461	515586	1726995	2319569	3627463	1071445	1182233	2464129	41243	15605	134405	45366	225044	240922	24304	58405	250173	48032	119865	145798	27670	89590	106706	21138	159555	194125	161874	102810	298653	26267	131458	85029	30310	114405	228669
Bacteria:Acidobacteriota:Aminicenantia:Aminicenantales	Bacteria:Acidobacteriota:Aminicenantia:Aminicenantales	346681	233787	126438	55932	39013	22350	205387	149667	37591	18396	5034	4446	14018	3391	2514	9872	6179	1745	21879	8651	3886	16889	13707	5865	22423	5612	2510	1935	11872	5065	6344	4775	7780	7838	10103	2619
Bacteria:Desulfobacterota:Desulfobacteria:Desulfobacterales	Bacteria:Desulfobacterota:Desulfobacteria:Desulfobacterales	322617	224931	247200	245818	303512	352900	331588	396157	357221	35263	10009	31674	30222	25011	26923	19424	25371	20434	26004	32771	21446	19538	31869	21180	22629	26365	20616	17764	40960	34464	15965	22001	27789	24612	42497	21074
Bacteria:Bacteroidota:Bacteroidia:Bacteroidales	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales	294914	187336	69407	49936	109744	151817	110913	136242	133201	24018	3449	18868	12071	14186	22181	11366	7820	9736	27359	18727	11234	8232	15816	6842	9721	9252	11112	12095	19406	24678	8970	13923	13886	10664	19101	17000
Bacteria:Desulfobacterota:Syntrophia:Syntrophales	Bacteria:Desulfobacterota:Syntrophia:Syntrophales	259626	217509	214377	143497	159524	126834	398527	452490	209714	34656	9556	18038	27856	11959	14212	18679	16930	9546	26853	24651	12115	14006	25272	14459	16387	16215	10355	9330	43958	28769	13685	15808	24647	24803	39530	12899
Bacteria:Desulfobacterota_F:Desulfuromonadia:Geobacterales	Bacteria:Desulfobacterota_F:Desulfuromonadia:Geobacterales	243918	165645	125620	156152	218943	349620	212598	251726	320482	21303	6428	13203	18378	31035	32897	12626	12432	29026	16869	26838	26117	17620	22745	16439	16535	18442	19037	19410	26591	44318	8361	21866	16432	14045	22455	31534
