gene_id,K00595,K02188,K02189,K02190,K02191,K02224,K02224,K02228,K02229,K02230,K02302,K02304,K03394,K03394,K03399,K03795,K05895,K05895,K05934,K05934,K05936,K05936,K06042,K06042,K09882,K09883,K13540,K13540,K13540 ,K13541,K13541,K13541 ,K13786,K21479,K22011
gene_description,"cobL; precorrin-6Y C5,15-methyltransferase (decarboxylating) [EC:2.1.1.132]",cbiD; cobalt-precorrin-5B (C1)-methyltransferase [EC:2.1.1.195],cbiG; cobalt-precorrin 5A hydrolase [EC:3.7.1.12],cbiK; sirohydrochlorin cobaltochelatase [EC:4.99.1.3],cbiT; cobalt-precorrin-6B (C15)-methyltransferase [EC:2.1.1.196],"cobB-cbiA; cobyrinic acid a,c-diamide synthase [EC:6.3.5.9 6.3.5.11]","cobB-cbiA; cobyrinic acid a,c-diamide synthase [EC:6.3.5.9 6.3.5.11]",cobF; precorrin-6A synthase [EC:2.1.1.152],cobG; precorrin-3B synthase [EC:1.14.13.83],cobN; cobaltochelatase CobN [EC:6.6.1.2],cysG; uroporphyrin-III C-methyltransferase / precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase [EC:2.1.1.107 1.3.1.76 4.99.1.4],MET8; precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase [EC:1.3.1.76 4.99.1.4],cobI-cbiL; precorrin-2/cobalt-factor-2 C20-methyltransferase [EC:2.1.1.130 2.1.1.151],cobI-cbiL; precorrin-2/cobalt-factor-2 C20-methyltransferase [EC:2.1.1.130 2.1.1.151],cbiE; cobalt-precorrin-7 (C5)-methyltransferase [EC:2.1.1.289],cbiX; sirohydrochlorin cobaltochelatase [EC:4.99.1.3],cobK-cbiJ; precorrin-6A/cobalt-precorrin-6A reductase [EC:1.3.1.54 1.3.1.106],cobK-cbiJ; precorrin-6A/cobalt-precorrin-6A reductase [EC:1.3.1.54 1.3.1.106],"E2.1.1.131, cobJ, cbiH; precorrin-3B C17-methyltransferase [EC:2.1.1.131]","E2.1.1.131, cobJ, cbiH; precorrin-3B C17-methyltransferase [EC:2.1.1.131]","cobM, cbiF; precorrin-4/cobalt-precorrin-4 C11-methyltransferase [EC:2.1.1.133 2.1.1.271]","cobM, cbiF; precorrin-4/cobalt-precorrin-4 C11-methyltransferase [EC:2.1.1.133 2.1.1.271]",cobH-cbiC; precorrin-8X/cobalt-precorrin-8 methylmutase [EC:5.4.99.61 5.4.99.60],cobH-cbiC; precorrin-8X/cobalt-precorrin-8 methylmutase [EC:5.4.99.61 5.4.99.60],cobS; cobaltochelatase CobS [EC:6.6.1.2],cobT; cobaltochelatase CobT [EC:6.6.1.2],cobIJ; precorrin-2 C20-methyltransferase / precorrin-3B C17-methyltransferase [EC:2.1.1.130 2.1.1.131],cobIJ; precorrin-2 C20-methyltransferase / precorrin-3B C17-methyltransferase [EC:2.1.1.130 2.1.1.131],cobIJ; precorrin-2 C20-methyltransferase / precorrin-3B C17-methyltransferase [EC:2.1.1.130 2.1.1.131],cbiGH-cobJ; cobalt-precorrin 5A hydrolase / precorrin-3B C17-methyltransferase [EC:3.7.1.12 2.1.1.131],cbiGH-cobJ; cobalt-precorrin 5A hydrolase / precorrin-3B C17-methyltransferase [EC:3.7.1.12 2.1.1.131],cbiGH-cobJ; cobalt-precorrin 5A hydrolase / precorrin-3B C17-methyltransferase [EC:3.7.1.12 2.1.1.131],"cobR; cob(II)yrinic acid a,c-diamide reductase [EC:1.16.8.1]",cbiH60; cobalt-factor III methyltransferase [EC:2.1.1.272],cfbA; sirohydrochlorin cobalto/nickelchelatase [EC:4.99.1.3 4.99.1.11]
Classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__QMZP01;f__QMZP01;g__;s__,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__JACTUA01;g__JACTUA01;s__,False,True,True,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__JACTUA01;g__JACTUA01;s__,False,True,True,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__MVRE01;s__,False,True,True,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__MVRE01;s__,False,True,True,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__,False,False,True,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True
d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__,False,True,True,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__,False,True,True,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__,False,True,True,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__,False,True,True,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanoperedenaceae;g__Methanoperedens;s__,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Fen-7;s__,False,True,True,True,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__JABLXE01;s__,False,True,True,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Methanothrix;s__,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__;s__,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__SG8-52-3;s__,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
