,0,1,2,3,4,5,6,7,8,9,10
level_0,891,892,896,901,903,1601,1671,1672,2174,2968,2970
index,891,892,896,901,903,1601,1671,1672,2174,2968,2970
gene_id,K00368,K00370,K00371,K00374,K00376,K02305,K02567,K02568,K04561,K15864,K15877
gene_description,nitrite reductase (NO-forming) [EC:1.7.2.1] [RN:R00783 R00785],nitrate reductase 1 [EC:1.7.99.-] [RN:R00798],nitrate reductase 1 [EC:1.7.99.-] [RN:R00798],nitrate reductase 1 [EC:1.7.99.-] [RN:R00798],nitrous-oxide reductase [EC:1.7.2.4] [RN:R02804],nitric oxide reductase [EC:1.7.2.5] [RN:R00294],periplasmic nitrate reductase NapA [EC:1.7.99.-] [RN:R00798],cytochrome c-type protein NapB [RN:R00798],nitric oxide reductase [EC:1.7.2.5] [RN:R00294],nitrite reductase (NO-forming) [EC:1.7.2.1] [RN:R00783 R00785],fungal nitric oxide reductase [EC:1.7.1.14] [RN:R02492 R09446 R09808 R09809]
module,"Denitrification, nitrate => nitrogen","Denitrification, nitrate => nitrogen","Denitrification, nitrate => nitrogen","Denitrification, nitrate => nitrogen","Denitrification, nitrate => nitrogen","Denitrification, nitrate => nitrogen","Denitrification, nitrate => nitrogen","Denitrification, nitrate => nitrogen","Denitrification, nitrate => nitrogen","Denitrification, nitrate => nitrogen","Denitrification, nitrate => nitrogen"
header,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen
subheader,nitrite + ammonia => nitrogen,nitrite + ammonia => nitrogen,nitrite + ammonia => nitrogen,nitrite + ammonia => nitrogen,nitrite + ammonia => nitrogen,nitrite + ammonia => nitrogen,nitrite + ammonia => nitrogen,nitrite + ammonia => nitrogen,nitrite + ammonia => nitrogen,nitrite + ammonia => nitrogen,nitrite + ammonia => nitrogen
Acidiferrobacterales;f__UBA6901;g__UBA6901;s__-0,False,False,False,True,False,False,True,True,False,True,False
Acidiferrobacterales;f__UBA6901;g__UBA6901;s__-10,False,False,False,True,False,True,False,False,True,True,False
Acidiferrobacterales;f__UBA6901;g__UBA6901;s__-11,False,False,False,True,False,True,False,False,True,True,False
Burkholderiales;f__Burkholderiaceae_A;g__JADJWR01;s__-22,False,False,False,False,False,False,False,False,False,False,False
Burkholderiales;f__Burkholderiaceae_B;g__CADEEN01;s__-6,False,True,False,True,False,False,False,False,False,True,False
Burkholderiales;f__Gallionellaceae;g__Gallionella;s__-19,True,False,False,True,False,False,False,False,False,False,False
Burkholderiales;f__Gallionellaceae;g__Gallionella;s__-4,False,False,False,True,False,False,True,True,False,False,False
Burkholderiales;f__Gallionellaceae;g__Sideroxyarcus;s__-21,False,False,False,True,False,False,False,False,False,True,False
Burkholderiales;f__Methylophilaceae;g__MM2;s__-8,False,False,False,False,True,True,False,False,True,True,False
Burkholderiales;f__RBG-16-58-11;g__RBG-16-58-11;s__-18,False,True,True,True,False,False,False,False,False,False,False
Burkholderiales;f__Rhodocyclaceae;g__CG2-30-68-42;s__-13,False,False,False,True,False,True,True,True,True,True,False
Burkholderiales;f__Rhodocyclaceae;g__UBA2250;s__-14,False,False,False,True,True,False,True,True,True,True,False
Burkholderiales;f__SG8-39;g__SG8-39;s__-1,False,False,False,True,False,False,False,False,False,True,False
Burkholderiales;f__SHXO01;g__SHXO01;s__-9,True,True,True,False,False,False,False,False,False,False,False
Burkholderiales;f__Thiobacillaceae;g__PFJX01;s__-15,False,True,True,True,True,True,True,True,True,False,False
Burkholderiales;f__Thiobacillaceae;g__Thiobacillus;s__-2,False,False,True,True,False,True,True,True,True,False,False
Burkholderiales;f__Thiobacillaceae;g__Thiobacillus;s__-20,False,True,True,True,False,False,False,False,False,False,False
Burkholderiales;f__Thiobacillaceae;g__UBA6918;s__-7,False,True,True,True,False,False,True,True,False,False,False
Chromatiales;f__Sedimenticolaceae;g__;s__-17,False,False,False,False,False,True,True,True,True,False,False
Diplorickettsiales;f__Diplorickettsiaceae;g__Aquirickettsiella;s__Aquirickettsiella isopodorum-5,False,False,False,False,False,False,False,False,False,False,False
Methylococcales;f__Methylomonadaceae;g__KS41;s__-16,True,True,True,True,False,True,False,False,True,True,False
Methylococcales;f__Methylomonadaceae;g__KS41;s__KS41 sp002256705-12,True,False,True,True,False,False,False,False,True,False,False
Steroidobacterales;f__Steroidobacteraceae;g__RPQJ01;s__-3,False,False,False,False,False,False,False,False,True,True,False
