,0,1,2,3,4,5,6,7,8
level_0,886,887,895,899,902,1670,1673,2047,2969
index,886,887,895,899,902,1670,1673,2047,2969
gene_id,K00362,K00363,K00370,K00371,K00374,K02567,K02568,K03385,K15876
gene_description,respiratory nitrite reductase [EC:1.7.1.15] [RN:R00787],respiratory nitrite reductase [EC:1.7.1.15] [RN:R00787],respiratory nitrate reductase 1 [EC:1.7.99.-] [RN:R00798],respiratory nitrate reductase 1 [EC:1.7.99.-] [RN:R00798],respiratory nitrate reductase 1 [EC:1.7.99.-] [RN:R00798],dissimilatory nitrate reductase [EC:1.7.99.-] [RN:R00798],dissimilatory nitrate reductase [EC:1.7.99.-] [RN:R00798],respiratory nitrite reductase [EC:1.7.2.2] [RN:R05712],respiratory nitrite reductase [EC:1.7.2.2] [RN:R05712]
module,"Dissimilatory nitrate reduction, nitrate => ammonia","Dissimilatory nitrate reduction, nitrate => ammonia","Dissimilatory nitrate reduction, nitrate => ammonia","Dissimilatory nitrate reduction, nitrate => ammonia","Dissimilatory nitrate reduction, nitrate => ammonia","Dissimilatory nitrate reduction, nitrate => ammonia","Dissimilatory nitrate reduction, nitrate => ammonia","Dissimilatory nitrate reduction, nitrate => ammonia","Dissimilatory nitrate reduction, nitrate => ammonia"
header,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen
subheader,nitrite + ammonia => nitrogen,nitrite + ammonia => nitrogen,nitrite + ammonia => nitrogen,nitrite + ammonia => nitrogen,nitrite + ammonia => nitrogen,nitrite + ammonia => nitrogen,nitrite + ammonia => nitrogen,nitrite + ammonia => nitrogen,nitrite + ammonia => nitrogen
Acidiferrobacterales;f__UBA6901;g__UBA6901;s__-0,True,True,False,False,True,True,True,False,False
Acidiferrobacterales;f__UBA6901;g__UBA6901;s__-10,True,True,False,False,True,False,False,False,False
Acidiferrobacterales;f__UBA6901;g__UBA6901;s__-11,True,True,False,False,True,False,False,False,False
Burkholderiales;f__Burkholderiaceae_A;g__JADJWR01;s__-22,False,False,False,False,False,False,False,False,False
Burkholderiales;f__Burkholderiaceae_B;g__CADEEN01;s__-6,False,False,True,False,True,False,False,True,False
Burkholderiales;f__Gallionellaceae;g__Gallionella;s__-19,False,True,False,False,True,False,False,False,False
Burkholderiales;f__Gallionellaceae;g__Gallionella;s__-4,True,True,False,False,True,True,True,False,False
Burkholderiales;f__Gallionellaceae;g__Sideroxyarcus;s__-21,False,False,False,False,True,False,False,False,False
Burkholderiales;f__Methylophilaceae;g__MM2;s__-8,False,False,False,False,False,False,False,False,False
Burkholderiales;f__RBG-16-58-11;g__RBG-16-58-11;s__-18,True,True,True,True,True,False,False,False,False
Burkholderiales;f__Rhodocyclaceae;g__CG2-30-68-42;s__-13,True,True,False,False,True,True,True,False,False
Burkholderiales;f__Rhodocyclaceae;g__UBA2250;s__-14,True,True,False,False,True,True,True,False,False
Burkholderiales;f__SG8-39;g__SG8-39;s__-1,True,True,False,False,True,False,False,False,False
Burkholderiales;f__SHXO01;g__SHXO01;s__-9,False,False,True,True,False,False,False,False,False
Burkholderiales;f__Thiobacillaceae;g__PFJX01;s__-15,True,True,True,True,True,True,True,False,False
Burkholderiales;f__Thiobacillaceae;g__Thiobacillus;s__-2,False,False,False,True,True,True,True,False,False
Burkholderiales;f__Thiobacillaceae;g__Thiobacillus;s__-20,True,True,True,True,True,False,False,False,False
Burkholderiales;f__Thiobacillaceae;g__UBA6918;s__-7,True,True,True,True,True,True,True,True,False
Chromatiales;f__Sedimenticolaceae;g__;s__-17,False,False,False,False,False,True,True,False,False
Diplorickettsiales;f__Diplorickettsiaceae;g__Aquirickettsiella;s__Aquirickettsiella isopodorum-5,False,False,False,False,False,False,False,False,False
Methylococcales;f__Methylomonadaceae;g__KS41;s__-16,True,True,True,True,True,False,False,False,False
Methylococcales;f__Methylomonadaceae;g__KS41;s__KS41 sp002256705-12,True,True,False,True,True,False,False,False,False
Steroidobacterales;f__Steroidobacteraceae;g__RPQJ01;s__-3,False,False,False,False,False,False,False,False,False
