,0,1,2,3,4,5,6
level_0,914,915,1117,1119,1121,2580,2581
index,914,915,1117,1119,1121,2580,2581
gene_id,K00394,K00395,K00956,K00957,K00958,K11180,K11181
gene_description,adenylylsulfate reductase [EC:1.8.99.2] [RN:R08553],adenylylsulfate reductase [EC:1.8.99.2] [RN:R08553],sulfate adenylyltransferase [EC:2.7.7.4] [RN:R00529],sulfate adenylyltransferase [EC:2.7.7.4] [RN:R00529],sulfate adenylyltransferase [EC:2.7.7.4] [RN:R00529],"sulfite reductase, dissimilatory-type [EC:1.8.99.5] [RN:R00861]","sulfite reductase, dissimilatory-type [EC:1.8.99.5] [RN:R00861]"
module,"Dissimilatory sulfate reduction, sulfate => H2S","Dissimilatory sulfate reduction, sulfate => H2S","Dissimilatory sulfate reduction, sulfate => H2S","Dissimilatory sulfate reduction, sulfate => H2S","Dissimilatory sulfate reduction, sulfate => H2S","Dissimilatory sulfate reduction, sulfate => H2S","Dissimilatory sulfate reduction, sulfate => H2S"
header,Sulfur,Sulfur,Sulfur,Sulfur,Sulfur,Sulfur,Sulfur
subheader,nitrite + ammonia => nitrogen,nitrite + ammonia => nitrogen,nitrite + ammonia => nitrogen,nitrite + ammonia => nitrogen,nitrite + ammonia => nitrogen,nitrite + ammonia => nitrogen,nitrite + ammonia => nitrogen
Acidiferrobacterales;f__UBA6901;g__UBA6901;s__-0,True,True,False,False,True,True,True
Acidiferrobacterales;f__UBA6901;g__UBA6901;s__-10,True,False,False,False,True,True,True
Acidiferrobacterales;f__UBA6901;g__UBA6901;s__-11,False,True,False,False,True,True,True
Burkholderiales;f__Burkholderiaceae_A;g__JADJWR01;s__-22,False,False,False,False,False,False,False
Burkholderiales;f__Burkholderiaceae_B;g__CADEEN01;s__-6,True,True,False,True,True,True,True
Burkholderiales;f__Gallionellaceae;g__Gallionella;s__-19,False,False,False,False,False,True,True
Burkholderiales;f__Gallionellaceae;g__Gallionella;s__-4,True,True,False,False,True,True,True
Burkholderiales;f__Gallionellaceae;g__Sideroxyarcus;s__-21,True,True,True,True,True,True,True
Burkholderiales;f__Methylophilaceae;g__MM2;s__-8,False,False,True,True,False,False,False
Burkholderiales;f__RBG-16-58-11;g__RBG-16-58-11;s__-18,False,False,False,False,True,True,True
Burkholderiales;f__Rhodocyclaceae;g__CG2-30-68-42;s__-13,True,False,True,True,False,True,True
Burkholderiales;f__Rhodocyclaceae;g__UBA2250;s__-14,True,True,False,False,True,True,True
Burkholderiales;f__SG8-39;g__SG8-39;s__-1,True,True,False,False,True,True,True
Burkholderiales;f__SHXO01;g__SHXO01;s__-9,False,False,True,True,False,False,False
Burkholderiales;f__Thiobacillaceae;g__PFJX01;s__-15,True,True,False,False,True,True,True
Burkholderiales;f__Thiobacillaceae;g__Thiobacillus;s__-2,True,True,False,False,True,True,True
Burkholderiales;f__Thiobacillaceae;g__Thiobacillus;s__-20,True,True,False,False,True,True,True
Burkholderiales;f__Thiobacillaceae;g__UBA6918;s__-7,True,True,False,False,True,True,True
Chromatiales;f__Sedimenticolaceae;g__;s__-17,False,False,False,False,True,True,False
Diplorickettsiales;f__Diplorickettsiaceae;g__Aquirickettsiella;s__Aquirickettsiella isopodorum-5,False,False,False,False,False,False,False
Methylococcales;f__Methylomonadaceae;g__KS41;s__-16,False,False,True,False,False,False,False
Methylococcales;f__Methylomonadaceae;g__KS41;s__KS41 sp002256705-12,False,False,False,False,False,False,False
Steroidobacterales;f__Steroidobacteraceae;g__RPQJ01;s__-3,False,False,False,True,False,False,False
