,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
level_0,695,699,1018,1101,1134,1140,1379,1394,2086,2151,2767,2768,2769,2771,3196,3279
index,695,699,1018,1101,1134,1140,1379,1394,2086,2151,2767,2768,2769,2771,3196,3279
gene_id,K00101,K00121,K00634,K00929,K01026,K01067,K01896,K01905,K03777,K04072,K13951,K13952,K13953,K13980,K18857,K19697
gene_description,L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3],alcohol dehydrogenase [EC:1.1.1.1],phosphate butyryltransferase [EC:2.3.1.19],butyrate kinase [EC:2.7.2.7],propionate CoA-transferase [EC:2.8.3.1],acetyl-CoA hydrolase [EC:3.1.2.1],medium-chain acyl-CoA synthetase [EC:6.2.1.2],"6.2.1.13, acetate---CoA ligase (ADP-forming) subunit alpha",D-lactate dehydrogenase (quinone) [EC:1.1.5.12],alcohol dehydrogenase [EC:1.1.1.1],alcohol dehydrogenase [EC:1.1.1.1],alcohol dehydrogenase [EC:1.1.1.1],alcohol dehydrogenase [EC:1.1.1.1],alcohol dehydrogenase [EC:1.1.1.1],alcohol dehydrogenase [EC:1.1.1.1],propionate kinase [EC:2.7.2.15]
module,SCFA  and alcohol conversions,SCFA  and alcohol conversions,SCFA  and alcohol conversions,SCFA  and alcohol conversions,SCFA  and alcohol conversions,SCFA  and alcohol conversions,SCFA  and alcohol conversions,SCFA  and alcohol conversions,SCFA  and alcohol conversions,SCFA  and alcohol conversions,SCFA  and alcohol conversions,SCFA  and alcohol conversions,SCFA  and alcohol conversions,SCFA  and alcohol conversions,SCFA  and alcohol conversions,SCFA  and alcohol conversions
header,SCFA  and alcohol conversions,SCFA  and alcohol conversions,SCFA  and alcohol conversions,SCFA  and alcohol conversions,SCFA  and alcohol conversions,SCFA  and alcohol conversions,SCFA  and alcohol conversions,SCFA  and alcohol conversions,SCFA  and alcohol conversions,SCFA  and alcohol conversions,SCFA  and alcohol conversions,SCFA  and alcohol conversions,SCFA  and alcohol conversions,SCFA  and alcohol conversions,SCFA  and alcohol conversions,SCFA  and alcohol conversions
subheader,Nucleotide,Nucleotide,Nucleotide,Nucleotide,Nucleotide,Nucleotide,Nucleotide,Nucleotide,Nucleotide,Nucleotide,Nucleotide,Nucleotide,Nucleotide,Nucleotide,Nucleotide,Nucleotide
Acidiferrobacterales;f__UBA6901;g__UBA6901;s__-0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Acidiferrobacterales;f__UBA6901;g__UBA6901;s__-10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Acidiferrobacterales;f__UBA6901;g__UBA6901;s__-11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Burkholderiales;f__Burkholderiaceae_A;g__JADJWR01;s__-22,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
Burkholderiales;f__Burkholderiaceae_B;g__CADEEN01;s__-6,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
Burkholderiales;f__Gallionellaceae;g__Gallionella;s__-19,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Burkholderiales;f__Gallionellaceae;g__Gallionella;s__-4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Burkholderiales;f__Gallionellaceae;g__Sideroxyarcus;s__-21,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Burkholderiales;f__Methylophilaceae;g__MM2;s__-8,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Burkholderiales;f__RBG-16-58-11;g__RBG-16-58-11;s__-18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Burkholderiales;f__Rhodocyclaceae;g__CG2-30-68-42;s__-13,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Burkholderiales;f__Rhodocyclaceae;g__UBA2250;s__-14,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Burkholderiales;f__SG8-39;g__SG8-39;s__-1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Burkholderiales;f__SHXO01;g__SHXO01;s__-9,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Burkholderiales;f__Thiobacillaceae;g__PFJX01;s__-15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Burkholderiales;f__Thiobacillaceae;g__Thiobacillus;s__-2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Burkholderiales;f__Thiobacillaceae;g__Thiobacillus;s__-20,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Burkholderiales;f__Thiobacillaceae;g__UBA6918;s__-7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Chromatiales;f__Sedimenticolaceae;g__;s__-17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Diplorickettsiales;f__Diplorickettsiaceae;g__Aquirickettsiella;s__Aquirickettsiella isopodorum-5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Methylococcales;f__Methylomonadaceae;g__KS41;s__-16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Methylococcales;f__Methylomonadaceae;g__KS41;s__KS41 sp002256705-12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Steroidobacterales;f__Steroidobacteraceae;g__RPQJ01;s__-3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
