gene_id,K00436,K00437,K00440,K00441,K00442,K00443,K00532,K00533,K00534,K05586,K05587,K05588,K06441,K06862,K13942,K14068,K14069,K14070,K14086,K14087,K14088,K14089,K14090,K14091,K14092,K14093,K14094,K14095,K14096,K14097,K14098,K14099,K14100,K14101,K14102,K14103,K14104,K14105,K14106,K14107,K14108,K14109,K14110,K14111,K14112,K14113,K14114,K14115,K14116,K14117,K14118,K14119,K14120,K14121,K14122,K14123,K14124,K14125,K14126,K14127,K14128,K17992,K18005,K18006,K18007,K18008,K18016,K18017,K18023,K18330,K18331,K18332,K19640,K23548,K23549
gene_description,NAD-reducing hydrogenase large subunit [EC:1.12.1.2],[NiFe] hydrogenase large subunit [EC:1.12.2.1],coenzyme F420 hydrogenase subunit alpha [EC:1.12.98.1],coenzyme F420 hydrogenase subunit beta [EC:1.12.98.1],coenzyme F420 hydrogenase subunit delta,coenzyme F420 hydrogenase subunit gamma [EC:1.12.98.1],ferredoxin hydrogenase [EC:1.12.7.2],ferredoxin hydrogenase large subunit [EC:1.12.7.2],ferredoxin hydrogenase small subunit [EC:1.12.7.2],bidirectional [NiFe] hydrogenase diaphorase subunit [EC:7.1.1.2],bidirectional [NiFe] hydrogenase diaphorase subunit [EC:7.1.1.2],bidirectional [NiFe] hydrogenase diaphorase subunit [EC:7.1.1.2],ferredoxin hydrogenase gamma subunit [EC:1.12.7.2],energy-converting hydrogenase B subunit Q,"5,10-methenyltetrahydromethanopterin hydrogenase [EC:1.12.98.2]","methanophenazine hydrogenase, large subunit [EC:1.12.98.3]","methanophenazine hydrogenase, cytochrome b subunit [EC:1.12.98.3]",methanophenazine hydrogenase [EC:1.12.98.3],ech hydrogenase subunit A,ech hydrogenase subunit B,ech hydrogenase subunit C,ech hydrogenase subunit D,ech hydrogenase subunit E,ech hydrogenase subunit F,energy-converting hydrogenase A subunit A,energy-converting hydrogenase A subunit B,energy-converting hydrogenase A subunit C,energy-converting hydrogenase A subunit D,energy-converting hydrogenase A subunit E,energy-converting hydrogenase A subunit F,energy-converting hydrogenase A subunit G,energy-converting hydrogenase A subunit H,energy-converting hydrogenase A subunit I,energy-converting hydrogenase A subunit J,energy-converting hydrogenase A subunit K,energy-converting hydrogenase A subunit L,energy-converting hydrogenase A subunit M,energy-converting hydrogenase A subunit N,energy-converting hydrogenase A subunit O,energy-converting hydrogenase A subunit P,energy-converting hydrogenase A subunit Q,energy-converting hydrogenase A subunit R,energy-converting hydrogenase B subunit A,energy-converting hydrogenase B subunit B,energy-converting hydrogenase B subunit C,energy-converting hydrogenase B subunit D,energy-converting hydrogenase B subunit E,energy-converting hydrogenase B subunit F,energy-converting hydrogenase B subunit G,energy-converting hydrogenase B subunit H,energy-converting hydrogenase B subunit I,energy-converting hydrogenase B subunit J,energy-converting hydrogenase B subunit K,energy-converting hydrogenase B subunit L,energy-converting hydrogenase B subunit M,energy-converting hydrogenase B subunit N,energy-converting hydrogenase B subunit O,energy-converting hydrogenase B subunit P,F420-non-reducing hydrogenase large subunit [EC:1.12.99.- 1.8.98.5],F420-non-reducing hydrogenase iron-sulfur subunit [EC:1.12.99.- 1.8.98.5 1.8.98.6],F420-non-reducing hydrogenase small subunit [EC:1.12.99.- 1.8.98.5],NADP-reducing hydrogenase subunit HndB [EC:1.12.1.3],[NiFe] hydrogenase diaphorase moiety large subunit [EC:1.12.1.2],[NiFe] hydrogenase diaphorase moiety small subunit [EC:1.12.1.2],NAD-reducing hydrogenase small subunit [EC:1.12.1.2],[NiFe] hydrogenase small subunit [EC:1.12.2.1],membrane-bound hydrogenase subunit alpha [EC:1.12.7.2],membrane-bound hydrogenase subunit beta [EC:1.12.7.2],membrane-bound hydrogenase subunit mbhJ [EC:1.12.7.2],NADP-reducing hydrogenase subunit HndA [EC:1.12.1.3],NADP-reducing hydrogenase subunit HndC [EC:1.12.1.3],NADP-reducing hydrogenase subunit HndD [EC:1.12.1.3],"putative two-component system protein, hydrogenase maturation factor HypX/HoxX",uptake hydrogenase small subunit [EC:1.12.99.6],uptake hydrogenase large subunit [EC:1.12.99.6]
Classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__QMZP01;f__QMZP01;g__;s__,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__JACTUA01;g__JACTUA01;s__,False,False,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False
d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__JACTUA01;g__JACTUA01;s__,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False
d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__MVRE01;s__,False,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False
d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__MVRE01;s__,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False
d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False
d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__,False,False,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__,False,False,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True,False,False,True,True,True,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,False,False,True,False,True,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanoperedenaceae;g__Methanoperedens;s__,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Fen-7;s__,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
