Genome,User Genome,Classification,FastANI Reference,FastANI Reference Radius,FastANI Taxonomy,FastANI ANI,FastANI Alignment Fraction,Closest Placement Reference,Closest Placement Taxonomy,Closest Placement ANI,Closest Placement Alignment Fraction,Classification Method,Note,Other Related References,MSA AA Percent,RED Value,Warnings,domain,phylum,class,order,family,genus,species,Bin Name,Marker Lineage,# Genomes,# Markers,# Marker Sets,0,1,2,3,4,5+,Completeness,Contamination,Translation table,GC std,# ambiguous bases,Genome size,Longest contig,N50 (scaffolds),Mean scaffold length,# contigs,# scaffolds,# predicted genes,Longest scaffold,GC,N50 (contigs),Coding density,Mean contig length,Genome size (Mbp),kruskal_season_p,kruskal_season_p_corr,kruskal_depth_p,kruskal_depth_p_corr,spearman_depth_p,spearman_depth_p_corr,spearman_depth_r,median_rel_abun,mean_rel_abun,max_rel_abun,class_plus
3300060478_1093,3300060478_1093__dereplicated_genomes,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__EnvOPS12;g__;s__,-,-,-,-,-,-,-,-,-,taxonomic classification fully defined by topology,classification based on placement in class-level tree,-,68.16,0.88779,-,d__Bacteria,p__Chloroflexota,c__Anaerolineae,o__Anaerolineales,f__EnvOPS12,g__,s__,3300060478_1093__dereplicated_genomes,k__Bacteria,5449,104,58,46,58,0,0,0,0,75.78,0.0,11,0.03128812600248357,0,3584235,105628,23684,15651.681222707424,229,229,3496,105628,0.5292270177597173,23684,0.915290710570038,15651.681222707424,3.584235,0.8007675311879248,0.9605180220828018,0.004570475011921143,0.014350928885045525,0.001090221899620272,0.0036171703336238484,-0.5534591505405176,0.049322963,0.055540077216666685,0.11376502,d__Bacteria;p__Chloroflexota;c__Anaerolineae;
3300060607_1232,3300060607_1232__dereplicated_genomes,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__UBA8366;f__UBA8366;g__WHUA01;s__,-,-,-,-,-,GCA_009377445.1,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__UBA8366;f__UBA8366;g__WHUA01;s__WHUA01 sp009377445,83.4,0.685,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,-,76.56,0.92104,Genome not assigned to closest species as it falls outside its pre-defined ANI radius,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__UBA8366,f__UBA8366,g__WHUA01,s__,3300060607_1232__dereplicated_genomes,c__Alphaproteobacteria,564,349,230,47,297,5,0,0,0,85.37,2.17,11,0.023155616422781175,2,3915055,31766,8523,7317.859813084112,535,535,4015,31766,0.6521852960866685,8523,0.8877262260683438,7317.856074766355,3.915055,0.004658302738718008,0.15751258090014078,0.795942582538911,0.8031279956329326,0.532935742621945,0.5760012571772537,0.10479699891891459,0.0118937525,0.017107232999999996,0.11308533,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;
3300055390_922,3300055390_922__dereplicated_genomes,d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Limnocylindrales;f__CSP1-4;g__CTSoil-043;s__,-,-,-,-,-,GCA_021802585.1,d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Limnocylindrales;f__CSP1-4;g__CTSoil-043;s__CTSoil-043 sp021802585,81.47,0.586,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,"GCA_017881985.1, s__CTSoil-043 sp01788...",84.93,0.9312,Genome not assigned to closest species as it falls outside its pre-defined ANI radius,d__Bacteria,p__Chloroflexota,c__Limnocylindria,o__Limnocylindrales,f__CSP1-4,g__CTSoil-043,s__,3300055390_922__dereplicated_genomes,k__Bacteria,924,161,108,10,146,5,0,0,0,91.2,4.17,11,0.014098936916543082,0,3088588,68526,14873,11397.0036900369,271,271,3018,68526,0.7277490555554836,14873,0.8991063230188034,11397.0036900369,3.088588,0.0011017604283245217,0.12425596404420636,0.17934060347828068,0.20858091926278297,0.07258646590028447,0.09989391448656512,-0.3045662781080955,0.0729661925,0.07549493230555554,0.13906573,d__Bacteria;p__Chloroflexota;c__Limnocylindria;
3300055390_1093,3300055390_1093__dereplicated_genomes,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA5619;g__JAKAFS01;s__,-,-,-,-,-,GCA_021817825.1,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA5619;g__JAKAFS01;s__JAKAFS01 sp021817825,79.11,0.361,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,"GCA_903928915.1, s__JAKAFS01 sp9039289...",70.51,0.93207,-,d__Bacteria,p__Desulfobacterota,c__Syntrophia,o__Syntrophales,f__UBA5619,g__JAKAFS01,s__,3300055390_1093__dereplicated_genomes,c__Deltaproteobacteria,83,247,155,56,188,3,0,0,0,87.02,1.94,11,0.03338163873739359,0,3276728,47058,13525,10708.261437908497,306,306,3091,47058,0.5852829407872732,13525,0.8928476822000483,10708.261437908497,3.276728,0.3972146600453764,0.9144231124240872,0.04978706836786395,0.07199214155743854,0.16223448126753404,0.20184987785611794,0.23579324756755776,0.035204321499999996,0.03870753866666668,0.0764978,d__Bacteria;p__Desulfobacterota;c__Syntrophia;
3300067053_173,3300067053_173__dereplicated_genomes,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__BOG-931;s__,-,-,-,-,-,GCA_019075925.1,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__BOG-931;s__BOG-931 sp019075925,78.97,0.407,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,"GCA_021811945.1, s__BOG-931 sp02181194...",74.02,0.96248,-,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__BOG-931,s__,3300067053_173__dereplicated_genomes,o__Rhizobiales,107,485,316,119,342,23,1,0,0,76.94,5.8,11,0.015570455623049503,0,4326486,33701,7778,7127.654036243822,607,607,4514,33701,0.6290915999728186,7778,0.862940964098809,7127.654036243822,4.326486,0.6674509849115675,0.9605180220828018,0.2575332073510092,0.2848170871995658,0.396887789543355,0.44584770058938566,-0.14409587351350753,0.0364646535,0.03384112824444445,0.04932134,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;
3300055390_1054,3300055390_1054__dereplicated_genomes,d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__SM1-50;s__,-,-,-,-,-,-,-,-,-,taxonomic classification defined by topology and ANI,-,"GCA_014894395.1, s__SM1-50 sp014894395...",87.74,0.95643,Genome not assigned to closest species as it falls outside its pre-defined ANI radius,d__Archaea,p__Thermoplasmatota,c__E2,o__DHVEG-1,f__DHVEG-1,g__SM1-50,s__,3300055390_1054__dereplicated_genomes,p__Euryarchaeota,148,188,125,28,153,7,0,0,0,80.8,4.8,11,0.03382947495560138,0,1731088,88178,22883,16028.592592592593,108,108,1737,88178,0.4199006636288854,22883,0.8901673398463856,16028.592592592593,1.731088,0.3532556843070659,0.8860243491291557,0.026375775669439248,0.04625820634187951,0.026981524684355537,0.043572186103076796,0.3735797848788168,0.032829709,0.034550878786111114,0.09960674,d__Archaea;p__Thermoplasmatota;c__E2;
3300060478_1029,3300060478_1029__dereplicated_genomes,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA4823;g__FEB-25;s__,-,-,-,-,-,-,-,-,-,taxonomic novelty determined using RED,classification based on placement in class-level tree,-,78.69,0.95378,-,d__Bacteria,p__Chloroflexota,c__Anaerolineae,o__Anaerolineales,f__UBA4823,g__FEB-25,s__,3300060478_1029__dereplicated_genomes,k__Bacteria,924,163,110,22,133,8,0,0,0,82.27,4.85,11,0.04622760772386566,0,4072921,67721,11914,9538.456674473067,427,427,3933,67721,0.47064649670347153,11914,0.8973743905172725,9538.456674473067,4.072921,0.6597076198275205,0.9605180220828018,0.01757476361773623,0.034371058657458986,0.07432163191767495,0.10130464477950597,0.3012913718918794,0.024032764999999998,0.026428984013888886,0.067833945,d__Bacteria;p__Chloroflexota;c__Anaerolineae;
3300060478_1121,3300060478_1121__dereplicated_genomes,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__SZUA-6;f__DRHE01;g__MIBK01;s__,-,-,-,-,-,GCA_001829505.1,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__SZUA-6;f__DRHE01;g__MIBK01;s__MIBK01 sp001829505,80.13,0.372,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,-,62.26,0.91115,-,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__SZUA-6,f__DRHE01,g__MIBK01,s__,3300060478_1121__dereplicated_genomes,c__Spirochaetia,72,215,125,55,153,7,0,0,0,77.41,4.8,11,0.0316895029136409,0,3956794,40072,9600,8295.165618448636,477,477,4062,40072,0.6374847919805782,9600,0.9247752094245998,8295.165618448636,3.956794,0.680009445951324,0.9605180220828018,0.0008281283669002386,0.009601841618471552,0.00016523553677573035,0.002217164087207212,0.63676758586955,0.0146656965,0.022400047630555562,0.14502811,d__Bacteria;p__Spirochaetota;c__Spirochaetia;
3300067053_1459,3300067053_1459__dereplicated_genomes,d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__RBG-16-64-13;f__RBG-16-64-13;g__RBG-16-64-13;s__,-,-,-,-,-,-,-,-,-,ANI,classification based on placement in class-level tree,"GCA_001768675.1, s__RBG-16-64-13 sp001...",88.52,0.89875,-,d__Bacteria,p__Actinomycetota,c__Thermoleophilia,o__RBG-16-64-13,f__RBG-16-64-13,g__RBG-16-64-13,s__,3300067053_1459__dereplicated_genomes,p__Actinobacteria,732,199,116,17,180,2,0,0,0,90.09,1.72,11,0.017939951804757933,0,2858156,61110,15788,11958.811715481172,239,239,2802,61110,0.6259123014978889,15788,0.9209122945003702,11958.811715481172,2.858156,0.15542720989977074,0.732276272532646,0.06402392108527628,0.08749878628220793,0.06825319467835063,0.09546525268736623,0.30784118432431157,0.0153954455,0.017366584566666666,0.05170233,d__Bacteria;p__Actinomycetota;c__Thermoleophilia;
3300060607_874,3300060607_874__dereplicated_genomes,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5620;g__9FT-COMBO-48-23;s__,-,-,-,-,-,-,-,-,-,ANI,classification based on placement in class-level tree,"GCA_001795315.1, s__9FT-COMBO-48-23 sp...",76.07,0.94576,-,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__GIF9,f__UBA5620,g__9FT-COMBO-48-23,s__,3300060607_874__dereplicated_genomes,k__Bacteria,924,151,101,20,130,1,0,0,0,85.48,0.2,11,0.031662533954014145,0,1619875,59881,17893,14085.869565217392,115,115,1666,59881,0.49202623659232964,17893,0.9082602052627518,14085.869565217392,1.619875,0.7126612753709967,0.9605180220828018,0.000777801535479593,0.009601841618471552,0.00018399182341318187,0.002217164087207212,0.6322086237548796,0.0142437785,0.022438819147222223,0.17468585,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;
