IDs,TOP2,TOP3,TOP4,MID2,MID3,MID4,BTM2,BTM3,BTM4,Gene_Product,Ortholog_ID,percent_id,taxonomy,
Ga0562388_13581230_3_440,391432000,299568,192505060,266925300,807885870,535531100,305932490,421714397,21550708,methyl-coenzyme M reductase beta subunit,KO:K00401,89.57,Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanotrichaceae;Methanothrix;Methanothrix soehngenii;Methanothrix soehngenii GP-6,
Ga0562388_01581740_69_1484,612399060,42993410,153243799,39273640,1121120900,284543240,381349362,102749738,369720644,predicted porin,COG3203,43.51,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Zoogloea;Zoogloea sp. LCSB751;Zoogloea schifflangensis LCSB751,
Ga0562388_00729613_1631_2773,194004000,319361638,44454100,972623530,208645670,158431490,198677102,10084330,312564457,predicted porin,COG3203,38.11,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Quisquiliibacterium;Quisquiliibacterium transsilvanicum;Quisquiliibacterium transsilvanicum DSM 29781,
Ga0562388_00005606_10996_12147,329773509,150035970,168129252,331881520,450954200,254710350,21366040,62589435,28185790,predicted porin,COG3203,42.93,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Thiobacillaceae;Sulfuritortus;Sulfuritortus calidifontis;Sulfuritortus calidifontis DSM 103923,
Ga0562388_24204085_1_414,44386880,145270000,158061800,998325000,363342400,581392900,0,0,0,predicted porin,COG3203,35.34,Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Chromobacteriaceae;Chitinilyticum;Chitinilyticum litopenaei;Chitinilyticum litopenaei DSM 21440,
Ga0562388_01458475_162_1430,46498330,28465250,45006680,152394500,230028410,135387400,159397530,36165080,137568470,maltoporin,KO:K02024,40.92,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;unclassified Burkholderiales;unclassified Burkholderiales;[Polyangium] brachysporum;Polyangium brachysporum DSM 7029,
Ga0562388_00000230_44961_45791,21886760,191499000,131470070,741082795,374767660,195239000,0,0,0,sulfur-oxidizing protein SoxA,KO:K17222,79.71,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Thiobacillaceae;Annwoodia;Annwoodia aquaesulis;Annwoodia aquaesulis DSM 4255,
Ga0562388_03152695_2_1123,21020790,93765170,149504440,142761289,109228500,244045990,124971856,95031126,127367820,predicted porin,COG3203,46.01,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Zoogloea;Zoogloea sp. LCSB751;Zoogloea schifflangensis LCSB751,
Ga0562388_01455003_2_1372,145691170,37181440,51533204,124440500,96075330,181092057,127659483,18087507,132412578,hypothetical protein,Hypo-rule applied,50.76,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfatirhabdium;Desulfatirhabdium butyrativorans;Desulfatirhabdium butyrativorans DSM 18734,
Ga0562388_07596587_3_536,225550310,38252820,320825000,66996080,354449830,16085200,448999670,117811868,6961090,methane/ammonia monooxygenase subunit B,KO:K10945,84.09,Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methylocaldum;Methylocaldum sp. 0917;Methylocaldum sp. 0917,
Ga0562388_01129149_343_1566,50891070,113039680,32762030,20611095,140939600,260343400,167733750,19573000,153948131,predicted porin,COG3203,29.54,Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Chromobacteriaceae;Aquaspirillum;Aquaspirillum sp. LM1;Aquaspirillum sp. LM1,
Ga0562388_00204027_1_1587,155146189,99676460,59153880,106559245,244662270,88084610,373923940,134847673,106163070,S-layer protein (TIGR01567 family),TIGR01567,66.16,Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanotrichaceae;Methanothrix;Methanothrix soehngenii;Methanothrix soehngenii GP-6,
Ga0562388_00143845_4668_5810,23831623,115786700,27013800,103964330,4841889,137962630,52032790,143674777,110675110,predicted porin,COG3203,39.53,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus;Cupriavidus sp. GA3-3;Cupriavidus sp. GA3-3,
Ga0562388_00043331_1829_3355,41917484,664904,78233540,103305962,120351770,181420200,114187002,2355105,121765141,hypothetical protein,Hypo-rule applied,40.63,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Gallionellaceae;Sideroxydans;Sideroxydans lithotrophicus;Sideroxydans lithotrophicus ES-1,
Ga0562388_00869036_2079_2780,121464967,155421860,0,539496290,237685600,101259000,26844120,4778580,34116200,predicted porin,COG3203,50,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Sulfuricellaceae;Sulfuriferula;Sulfuriferula multivorans;Sulfuriferula multivorans TTN,
Ga0562388_00332912_2211_3758,89078330,59078180,47703010,182273820,309155819,148413090,100577900,16066523,233272919,hypothetical protein,Hypo-rule applied,43.37,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Halodesulfovibrio;Halodesulfovibrio aestuarii;Halodesulfovibrio aestuarii DSM 10141,
Ga0562388_14208484_3_710,17625000,5592600,136339400,127013400,95541890,248154500,153966700,12711310,90012060,predicted porin,COG3203,47.83,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Zoogloea;Zoogloea sp. LCSB751;Zoogloea schifflangensis LCSB751,
