Genome,User Genome,Classification,FastANI Reference,FastANI Reference Radius,FastANI Taxonomy,FastANI ANI,FastANI Alignment Fraction,Closest Placement Reference,Closest Placement Taxonomy,Closest Placement ANI,Closest Placement Alignment Fraction,Classification Method,Note,Other Related References,MSA AA Percent,RED Value,Warnings,domain,phylum,class,order,family,genus,species,Bin Name,Marker Lineage,# Genomes,# Markers,# Marker Sets,0,1,2,3,4,5+,Completeness,Contamination,Translation table,GC std,# ambiguous bases,Genome size,Longest contig,N50 (scaffolds),Mean scaffold length,# contigs,# scaffolds,# predicted genes,Longest scaffold,GC,N50 (contigs),Coding density,Mean contig length,Genome size (Mbp),kruskal_season_p,kruskal_season_p_corr,kruskal_depth_p,kruskal_depth_p_corr,spearman_depth_p,spearman_depth_p_corr,spearman_depth_r,median_rel_abun,mean_rel_abun,max_rel_abun
3300060478_1093,3300060478_1093__dereplicated_genomes,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__EnvOPS12;g__;s__,-,-,-,-,-,-,-,-,-,taxonomic classification fully defined by topology,classification based on placement in class-level tree,-,68.16,0.88779,-,d__Bacteria,p__Chloroflexota,c__Anaerolineae,o__Anaerolineales,f__EnvOPS12,g__,s__,3300060478_1093__dereplicated_genomes,k__Bacteria,5449,104,58,46,58,0,0,0,0,75.78,0.0,11,0.03128812600248357,0,3584235,105628,23684,15651.681222707424,229,229,3496,105628,0.5292270177597173,23684,0.915290710570038,15651.681222707424,3.584235,0.8007675311879248,0.9605180220828018,0.004570475011921143,0.014350928885045525,0.001090221899620272,0.0036171703336238484,-0.5534591505405176,0.049322963,0.055540077216666685,0.11376502
3300060607_1232,3300060607_1232__dereplicated_genomes,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__UBA8366;f__UBA8366;g__WHUA01;s__,-,-,-,-,-,GCA_009377445.1,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__UBA8366;f__UBA8366;g__WHUA01;s__WHUA01 sp009377445,83.4,0.685,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,-,76.56,0.92104,Genome not assigned to closest species as it falls outside its pre-defined ANI radius,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__UBA8366,f__UBA8366,g__WHUA01,s__,3300060607_1232__dereplicated_genomes,c__Alphaproteobacteria,564,349,230,47,297,5,0,0,0,85.37,2.17,11,0.023155616422781175,2,3915055,31766,8523,7317.859813084112,535,535,4015,31766,0.6521852960866685,8523,0.8877262260683438,7317.856074766355,3.915055,0.004658302738718008,0.15751258090014078,0.795942582538911,0.8031279956329326,0.532935742621945,0.5760012571772537,0.10479699891891459,0.0118937525,0.017107232999999996,0.11308533
3300055390_609,3300055390_609__dereplicated_genomes,d__Bacteria;p__JAGLYR01;c__JAGLYR01;o__;f__;g__;s__,-,-,-,-,-,-,-,-,-,taxonomic novelty determined using RED,classification based on placement in class-level tree,-,89.69,0.50933,-,d__Bacteria,p__JAGLYR01,c__JAGLYR01,o__,f__,g__,s__,3300055390_609__dereplicated_genomes,k__Bacteria,2993,147,91,3,140,4,0,0,0,97.25,3.3,11,0.013400762055085981,0,2730600,110803,23688,15514.772727272728,176,176,2353,110803,0.6352351131619425,23688,0.9274613638028272,15514.772727272728,2.7306,0.8997646444220719,0.9791981895430706,0.0725745798268071,0.09661222706668335,0.06392511573852669,0.09059585939102457,0.31281155862871646,0.0070814338,0.013044932844444444,0.16468242
3300055390_922,3300055390_922__dereplicated_genomes,d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Limnocylindrales;f__CSP1-4;g__CTSoil-043;s__,-,-,-,-,-,GCA_021802585.1,d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Limnocylindrales;f__CSP1-4;g__CTSoil-043;s__CTSoil-043 sp021802585,81.47,0.586,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,"GCA_017881985.1, s__CTSoil-043 sp01788...",84.93,0.9312,Genome not assigned to closest species as it falls outside its pre-defined ANI radius,d__Bacteria,p__Chloroflexota,c__Limnocylindria,o__Limnocylindrales,f__CSP1-4,g__CTSoil-043,s__,3300055390_922__dereplicated_genomes,k__Bacteria,924,161,108,10,146,5,0,0,0,91.2,4.17,11,0.014098936916543082,0,3088588,68526,14873,11397.0036900369,271,271,3018,68526,0.7277490555554836,14873,0.8991063230188034,11397.0036900369,3.088588,0.0011017604283245217,0.12425596404420636,0.17934060347828068,0.20858091926278297,0.07258646590028447,0.09989391448656512,-0.3045662781080955,0.0729661925,0.07549493230555554,0.13906573
3300060478_136,3300060478_136__dereplicated_genomes,d__Bacteria;p__Eisenbacteria;c__RBG-16-71-46;o__RBG-16-71-46;f__RBG-16-71-46;g__JACRPT01;s__,-,-,-,-,-,GCA_016223045.1,d__Bacteria;p__Eisenbacteria;c__RBG-16-71-46;o__RBG-16-71-46;f__RBG-16-71-46;g__JACRPT01;s__JACRPT01 sp016223045,79.61,0.394,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,-,76.84,0.91232,-,d__Bacteria,p__Eisenbacteria,c__RBG-16-71-46,o__RBG-16-71-46,f__RBG-16-71-46,g__JACRPT01,s__,3300060478_136__dereplicated_genomes,k__Bacteria,2993,147,91,21,126,0,0,0,0,85.65,0.0,11,0.01942464764273758,0,4069423,88963,12279,9575.11294117647,425,425,3510,88963,0.7006101356383939,12279,0.8835697345790792,9575.11294117647,4.069423,0.5436345722312337,0.9605180220828018,0.1364575445408076,0.16451782834779058,0.04577131352607433,0.06708945955191717,0.3373153402702563,0.008881861500000001,0.015333690683333333,0.19173843
3300055390_1093,3300055390_1093__dereplicated_genomes,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA5619;g__JAKAFS01;s__,-,-,-,-,-,GCA_021817825.1,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA5619;g__JAKAFS01;s__JAKAFS01 sp021817825,79.11,0.361,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,"GCA_903928915.1, s__JAKAFS01 sp9039289...",70.51,0.93207,-,d__Bacteria,p__Desulfobacterota,c__Syntrophia,o__Syntrophales,f__UBA5619,g__JAKAFS01,s__,3300055390_1093__dereplicated_genomes,c__Deltaproteobacteria,83,247,155,56,188,3,0,0,0,87.02,1.94,11,0.03338163873739359,0,3276728,47058,13525,10708.261437908497,306,306,3091,47058,0.5852829407872732,13525,0.8928476822000483,10708.261437908497,3.276728,0.3972146600453764,0.9144231124240872,0.04978706836786395,0.07199214155743854,0.16223448126753404,0.20184987785611794,0.23579324756755776,0.035204321499999996,0.03870753866666668,0.0764978
3300060478_1076,3300060478_1076__dereplicated_genomes,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__SG8-4;g__Fen-1359;s__,-,-,-,-,-,GCA_003141315.1,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__SG8-4;g__Fen-1359;s__Fen-1359 sp003141315,80.53,0.643,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,-,82.38,0.95041,Genome not assigned to closest species as it falls outside its pre-defined ANI radius,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Sedimentisphaerales,f__SG8-4,g__Fen-1359,s__,3300060478_1076__dereplicated_genomes,k__Bacteria,2921,143,88,4,136,3,0,0,0,95.45,2.84,11,0.014907691722097802,0,2569847,82239,32122,22153.853448275862,116,116,2270,82239,0.4628680228822961,32122,0.8921383257446844,22153.853448275862,2.569847,0.37657524070351894,0.9004145420173525,0.0033791555099288387,0.0121090280756478,0.0007818060293863465,0.0030982683386792252,0.5677514025598223,0.0020511478,0.007353905772222223,0.05640685
3300067053_173,3300067053_173__dereplicated_genomes,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__BOG-931;s__,-,-,-,-,-,GCA_019075925.1,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__BOG-931;s__BOG-931 sp019075925,78.97,0.407,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,"GCA_021811945.1, s__BOG-931 sp02181194...",74.02,0.96248,-,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__BOG-931,s__,3300067053_173__dereplicated_genomes,o__Rhizobiales,107,485,316,119,342,23,1,0,0,76.94,5.8,11,0.015570455623049503,0,4326486,33701,7778,7127.654036243822,607,607,4514,33701,0.6290915999728186,7778,0.862940964098809,7127.654036243822,4.326486,0.6674509849115675,0.9605180220828018,0.2575332073510092,0.2848170871995658,0.396887789543355,0.44584770058938566,-0.14409587351350753,0.0364646535,0.03384112824444445,0.04932134
3300055390_1054,3300055390_1054__dereplicated_genomes,d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__SM1-50;s__,-,-,-,-,-,-,-,-,-,taxonomic classification defined by topology and ANI,-,"GCA_014894395.1, s__SM1-50 sp014894395...",87.74,0.95643,Genome not assigned to closest species as it falls outside its pre-defined ANI radius,d__Archaea,p__Thermoplasmatota,c__E2,o__DHVEG-1,f__DHVEG-1,g__SM1-50,s__,3300055390_1054__dereplicated_genomes,p__Euryarchaeota,148,188,125,28,153,7,0,0,0,80.8,4.8,11,0.03382947495560138,0,1731088,88178,22883,16028.592592592593,108,108,1737,88178,0.4199006636288854,22883,0.8901673398463856,16028.592592592593,1.731088,0.3532556843070659,0.8860243491291557,0.026375775669439248,0.04625820634187951,0.026981524684355537,0.043572186103076796,0.3735797848788168,0.032829709,0.034550878786111114,0.09960674
3300060478_1029,3300060478_1029__dereplicated_genomes,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA4823;g__FEB-25;s__,-,-,-,-,-,-,-,-,-,taxonomic novelty determined using RED,classification based on placement in class-level tree,-,78.69,0.95378,-,d__Bacteria,p__Chloroflexota,c__Anaerolineae,o__Anaerolineales,f__UBA4823,g__FEB-25,s__,3300060478_1029__dereplicated_genomes,k__Bacteria,924,163,110,22,133,8,0,0,0,82.27,4.85,11,0.04622760772386566,0,4072921,67721,11914,9538.456674473067,427,427,3933,67721,0.47064649670347153,11914,0.8973743905172725,9538.456674473067,4.072921,0.6597076198275205,0.9605180220828018,0.01757476361773623,0.034371058657458986,0.07432163191767495,0.10130464477950597,0.3012913718918794,0.024032764999999998,0.026428984013888886,0.067833945
3300060478_703,3300060478_703__dereplicated_genomes,d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__UBA233;g__;s__,-,-,-,-,-,-,-,-,-,taxonomic classification fully defined by topology,-,-,89.11,0.81656,-,d__Archaea,p__Thermoproteota,c__Bathyarchaeia,o__B26-1,f__UBA233,g__,s__,3300060478_703__dereplicated_genomes,k__Archaea,207,145,103,11,130,4,0,0,0,90.29,2.91,11,0.01008876471433067,0,1914148,129296,53204,37532.313725490196,51,51,2091,129296,0.47421098055113814,53204,0.8420555777296217,37532.313725490196,1.914148,0.5772759307952131,0.9605180220828018,0.0024458629909977422,0.010026858448830733,0.0005309603525955912,0.002396585000647975,0.5856008398100521,0.0052613161500000005,0.05366422159166665,0.8149673
3300055390_1051,3300055390_1051__dereplicated_genomes,d__Bacteria;p__Myxococcota;c__Polyangia;o__DRWM01;f__DRWM01;g__;s__,-,-,-,-,-,-,-,-,-,taxonomic novelty determined using RED,classification based on placement in class-level tree,-,88.34,0.70968,-,d__Bacteria,p__Myxococcota,c__Polyangia,o__DRWM01,f__DRWM01,g__,s__,3300055390_1051__dereplicated_genomes,c__Deltaproteobacteria,83,247,155,27,215,4,1,0,0,86.29,3.55,11,0.017522827486308037,0,6636015,100319,25801,17555.595238095237,378,378,5134,100319,0.6579037268601714,25801,0.9117595424362362,17555.595238095237,6.636015,0.6555234110626535,0.9605180220828018,0.03271274819428388,0.05323595523632509,0.013179657514684428,0.024632722341855613,0.4187802707827393,0.0035583172,0.0062988953638888874,0.067475274
3300060478_1121,3300060478_1121__dereplicated_genomes,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__SZUA-6;f__DRHE01;g__MIBK01;s__,-,-,-,-,-,GCA_001829505.1,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__SZUA-6;f__DRHE01;g__MIBK01;s__MIBK01 sp001829505,80.13,0.372,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,-,62.26,0.91115,-,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__SZUA-6,f__DRHE01,g__MIBK01,s__,3300060478_1121__dereplicated_genomes,c__Spirochaetia,72,215,125,55,153,7,0,0,0,77.41,4.8,11,0.0316895029136409,0,3956794,40072,9600,8295.165618448636,477,477,4062,40072,0.6374847919805782,9600,0.9247752094245998,8295.165618448636,3.956794,0.680009445951324,0.9605180220828018,0.0008281283669002386,0.009601841618471552,0.00016523553677573035,0.002217164087207212,0.63676758586955,0.0146656965,0.022400047630555562,0.14502811
3300067053_1459,3300067053_1459__dereplicated_genomes,d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__RBG-16-64-13;f__RBG-16-64-13;g__RBG-16-64-13;s__,-,-,-,-,-,-,-,-,-,ANI,classification based on placement in class-level tree,"GCA_001768675.1, s__RBG-16-64-13 sp001...",88.52,0.89875,-,d__Bacteria,p__Actinomycetota,c__Thermoleophilia,o__RBG-16-64-13,f__RBG-16-64-13,g__RBG-16-64-13,s__,3300067053_1459__dereplicated_genomes,p__Actinobacteria,732,199,116,17,180,2,0,0,0,90.09,1.72,11,0.017939951804757933,0,2858156,61110,15788,11958.811715481172,239,239,2802,61110,0.6259123014978889,15788,0.9209122945003702,11958.811715481172,2.858156,0.15542720989977074,0.732276272532646,0.06402392108527628,0.08749878628220793,0.06825319467835063,0.09546525268736623,0.30784118432431157,0.0153954455,0.017366584566666666,0.05170233
3300060607_874,3300060607_874__dereplicated_genomes,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5620;g__9FT-COMBO-48-23;s__,-,-,-,-,-,-,-,-,-,ANI,classification based on placement in class-level tree,"GCA_001795315.1, s__9FT-COMBO-48-23 sp...",76.07,0.94576,-,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__GIF9,f__UBA5620,g__9FT-COMBO-48-23,s__,3300060607_874__dereplicated_genomes,k__Bacteria,924,151,101,20,130,1,0,0,0,85.48,0.2,11,0.031662533954014145,0,1619875,59881,17893,14085.869565217392,115,115,1666,59881,0.49202623659232964,17893,0.9082602052627518,14085.869565217392,1.619875,0.7126612753709967,0.9605180220828018,0.000777801535479593,0.009601841618471552,0.00018399182341318187,0.002217164087207212,0.6322086237548796,0.0142437785,0.022438819147222223,0.17468585
3300060478_1045,3300060478_1045__dereplicated_genomes,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__UBA10834;f__UBA10834;g__COMBO-56-21;s__,-,-,-,-,-,GCA_018814355.1,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__UBA10834;f__UBA10834;g__COMBO-56-21;s__COMBO-56-21 sp018814355,86.4,0.838,taxonomic classification defined by topology and ANI,-,"GCA_022865445.1, s__COMBO-56-21 sp0228...",60.41,0.96954,Genome not assigned to closest species as it falls outside its pre-defined ANI radius,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__UBA10834,f__UBA10834,g__COMBO-56-21,s__,3300060478_1045__dereplicated_genomes,p__Euryarchaeota,148,188,125,58,128,2,0,0,0,84.0,1.6,11,0.011313361780038429,0,1387598,53165,11784,9636.097222222223,144,144,1428,53165,0.5527869022584351,11784,0.9134864708654812,9636.097222222223,1.387598,0.877289405201713,0.9778121495477425,0.0028047614684499,0.01083089893548263,0.012764916124087412,0.024174265934112444,0.42070679773695857,0.0179265225,0.014299204113888887,0.028916044
3300060607_687,3300060607_687__dereplicated_genomes,d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__,-,-,-,-,-,-,-,-,-,taxonomic classification defined by topology and ANI,-,"GCA_023228295.1, s__Methanoregula sp02...",82.6,0.95227,Genome not assigned to closest species as it falls outside its pre-defined ANI radius,d__Archaea,p__Halobacteriota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanoregulaceae,g__Methanoregula,s__,3300060607_687__dereplicated_genomes,p__Euryarchaeota,90,234,153,41,184,9,0,0,0,77.89,4.58,11,0.01941374867826899,0,1963630,53564,14034,11156.988636363636,176,176,2115,53564,0.5432505105340619,14034,0.893799239164201,11156.988636363636,1.96363,0.242350969747558,0.8264452680631145,0.11473098347045461,0.14358146469401922,0.07432163191767495,0.10130464477950597,0.3012913718918794,0.021424246,0.023039515777777776,0.056936897
3300055390_1056,3300055390_1056__dereplicated_genomes,d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__RBG-16-66-30;g__RBG-16-66-30;s__,-,-,-,-,-,GCA_017883305.1,d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__RBG-16-66-30;g__RBG-16-66-30;s__RBG-16-66-30 sp017883305,82.8,0.61,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,"GCA_017999365.1, s__RBG-16-66-30 sp012...",63.26,0.95522,Genome not assigned to closest species as it falls outside its pre-defined ANI radius,d__Bacteria,p__Acidobacteriota,c__Aminicenantia,o__Aminicenantales,f__RBG-16-66-30,g__RBG-16-66-30,s__,3300055390_1056__dereplicated_genomes,k__Bacteria,2258,188,117,55,122,11,0,0,0,76.02,6.62,11,0.01433341592922517,0,2625767,64966,12088,9797.638059701492,268,268,2428,64966,0.6726678338176998,12088,0.9373878184926537,9797.638059701492,2.625767,0.46214128708766844,0.9446042109790558,0.02542755318275513,0.04515764631626222,0.009936109888611096,0.02005969354870542,0.43556252675673873,0.07876739699999999,0.08834229038888891,0.2275014
3300060607_1106,3300060607_1106__dereplicated_genomes,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Pseudolabrys;s__,-,-,-,-,-,GCA_009694265.1,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Pseudolabrys;s__Pseudolabrys sp009694265,84.28,0.796,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,"GCA_016185205.1, s__Pseudolabrys sp016...",95.11,0.97349,Genome not assigned to closest species as it falls outside its pre-defined ANI radius,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__Pseudolabrys,s__,3300060607_1106__dereplicated_genomes,o__Rhizobiales,107,485,316,25,452,8,0,0,0,95.0,2.22,11,0.015634894528815807,0,3710261,210238,62281,31985.008620689656,116,116,3691,210238,0.6205738625934941,62281,0.8878529030707004,31985.008620689656,3.710261,0.00335788809318437,0.15751258090014078,0.5664772725868132,0.5786450421650503,0.2891171029644257,0.3353444988313664,-0.18011984189188443,0.053329185,0.05799650377777779,0.13541715
3300055390_1041,3300055390_1041__dereplicated_genomes,d__Bacteria;p__Fermentibacterota;c__Fermentibacteria;o__Fermentibacterales;f__Fermentibacteraceae;g__UBA5938;s__,-,-,-,-,-,GCA_002414865.1,d__Bacteria;p__Fermentibacterota;c__Fermentibacteria;o__Fermentibacterales;f__Fermentibacteraceae;g__UBA5938;s__UBA5938 sp002414865,77.85,0.307,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,-,87.71,0.85532,-,d__Bacteria,p__Fermentibacterota,c__Fermentibacteria,o__Fermentibacterales,f__Fermentibacteraceae,g__UBA5938,s__,3300055390_1041__dereplicated_genomes,k__Bacteria,2993,147,91,5,141,1,0,0,0,96.15,1.1,11,0.013059490352808286,0,2452056,217973,72316,30272.296296296296,81,81,2288,217973,0.6487633235130029,72316,0.9322213685168691,30272.296296296296,2.452056,0.6024740606078436,0.9605180220828018,0.013505967476450042,0.028902770399603088,0.01608529271371342,0.02856641195630433,0.40661201818605075,0.0188144285,0.021399701049999997,0.06101076
3300055390_887,3300055390_887__dereplicated_genomes,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__RBG-16-60-22;g__Fen-1077;s__,-,-,-,-,-,GCA_003141235.1,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__RBG-16-60-22;g__Fen-1077;s__Fen-1077 sp003141235,79.32,0.394,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,-,69.77,0.95522,-,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__Dehalococcoidales,f__RBG-16-60-22,g__Fen-1077,s__,3300055390_887__dereplicated_genomes,k__Bacteria,924,151,101,27,123,1,0,0,0,87.1,0.2,11,0.02381499693175999,0,1926393,50927,20357,14484.157894736842,133,133,1895,50927,0.47623615741959197,20357,0.8722571147216586,14484.157894736842,1.926393,0.9986532618462298,0.9999058958679385,0.012721752815304228,0.028358907317449007,0.005472579219092836,0.012392930718368961,0.4693699215430188,0.0136663375,0.014713964277777778,0.06389839
3300060607_425,3300060607_425__dereplicated_genomes,d__Bacteria;p__Myxococcota;c__B64-G9;o__B64-G9;f__B64-G9;g__;s__,-,-,-,-,-,-,-,-,-,taxonomic novelty determined using RED,classification based on placement in class-level tree,-,89.22,0.71441,-,d__Bacteria,p__Myxococcota,c__B64-G9,o__B64-G9,f__B64-G9,g__,s__,3300060607_425__dereplicated_genomes,c__Deltaproteobacteria,83,247,155,11,234,2,0,0,0,93.42,0.97,11,0.024468359360339108,3,3944495,108756,41149,25448.354838709678,155,155,3588,108756,0.5333789496847756,41149,0.904338071159933,25448.335483870967,3.944495,0.5636211355418681,0.9605180220828018,0.03256524043030823,0.05323595523632509,0.011730767785437054,0.022524349006522094,0.4257634434799699,0.0031135024,0.009410754330555555,0.103013344
3300060478_252,3300060478_252__dereplicated_genomes,d__Bacteria;p__4484-113;c__4484-113;o__4484-113;f__4484-113;g__JAGGTK01;s__,-,-,-,-,-,-,-,-,-,taxonomic novelty determined using RED,classification based on placement in class-level tree,-,68.6,0.87355,-,d__Bacteria,p__4484-113,c__4484-113,o__4484-113,f__4484-113,g__JAGGTK01,s__,3300060478_252__dereplicated_genomes,k__Bacteria,901,171,117,35,135,1,0,0,0,77.05,0.85,11,0.022395301902994914,0,1797220,50957,12945,10328.850574712644,174,174,1697,50957,0.5783287521839285,12945,0.9372024571282314,10328.850574712644,1.79722,0.5251281094170983,0.9590811281469702,0.005526766590172436,0.016187732391575036,0.008240653355333073,0.01720487627357344,0.4463937715374165,0.0115768835,0.013231437088888888,0.03667723
