taxon_oid	Domain	Sequencing Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID 	Genome Size   * assembled	Gene Count   * assembled	Scaffold Count   * assembled	Genome MetaBAT Bin Count   * assembled	Genome EukCC Bin Count   * assembled	CRISPR Count   * assembled	GC Count   * assembled	GC   * assembled	Coding Base Count   * assembled	Coding Base Count %   * assembled	CDS Count   * assembled	CDS %   * assembled	RNA Count   * assembled	RNA %  * assembled	rRNA Count   * assembled	5S rRNA Count   * assembled	16S rRNA Count   * assembled	18S rRNA Count   * assembled	23S rRNA Count   * assembled	28S rRNA Count   * assembled	tRNA Count   * assembled	Other RNA Count   * assembled	Unchar Count 	Unchar % 	w/ Func Pred Count   * assembled	w/ Func Pred %   * assembled	w/o function prediction  * assembled	w/o function prediction %  * assembled	Paralogs Count	Paralogs %	COG Count   * assembled	COG %   * assembled	KOG Count 	KOG % 	Pfam Count   * assembled	Pfam %   * assembled	TIGRfam Count   * assembled	TIGRfam %   * assembled	Enzyme Count   * assembled	Enzyme %   * assembled	KEGG Count   * assembled	KEGG %   * assembled	Not KEGG Count   * assembled	Not KEGG %   * assembled	KO Count   * assembled	KO %   * assembled	Not KO Count   * assembled	Not KO %   * assembled	MetaCyc Count   * assembled	MetaCyc %   * assembled	Not MetaCyc Count   * assembled	Not MetaCyc %   * assembled	Signal Peptide Count 	Signal Peptide % 	Transmembrane Count 	Transmembrane % 	Horizontally Transferred Count	Horizontally Transferred %	Paralog Group Count	COG Cluster Count   * assembled	KOG Cluster Count 	Pfam Cluster Count   * assembled	TIGRfam Cluster Count   * assembled	SMC Biosynthetic Gene Cluster Count  * assembled	Predicted Viruses	Predicted Plasmids	Estimated Number of Genomes  * assembled	Estimated Average Genome Size  * assembled	Estimated number of genomes - Marker genes average  * assembled	Estimated number of genomes - Marker genes median  * assembled	Estimated number of genomes - Marker genes mode  * assembled	Standard deviation of marker gene counts  * assembled	CheckM2 Completeness	CheckM2 Contamination	JGI Project ID / ITS SP ID	ITS AP ID	ITS SP ID	ITS Proposal ID	SRA ID	SRA Run	JGI Data Utilization Status	GPTS Proposal ID	Number of Filtered Reads   * assembled	Number of Mapped Reads   * assembled	% Assembled Reads   * assembled	Total Filtered Bases   * assembled	Total Mapped Bases   * assembled	Average Coverage of Assembled Sequences   * assembled	
3300060276	*Microbiome	Permanent Draft	Soil microbial communities from wetlands in Washington, USA	Soil microbial communities from lacustrine wetlands, Lake Washington, Seattle, WA, USA - LW4_C3_Btm	DOE Joint Genome Institute (JGI)	3300060276	1398886144	2339244	1311805	24	0	243	786665807	56.24	1396119502	99.8	2322217	99.27	17027	.73	2527	338	773	10	1396	10	14500	0	0	0	1510960	64.59	811257	34.68	0	0	1449668	61.97	0	0	1401626	59.92	310581	13	581112	24.84	553768	23.67	1768449	75.6	983805	42.06	1338412	57.22	327440	14	1994777	85.27	0	0	0	0	0	0	0	4588	0	7436	3015	0	0	0	385	3633470	397.36	385	0	123.64	0	0	1404960	1404951	1404960	507192			Restricted		337137028	129231645	38.33	50491447400	19354423465	13.84	
3300061209	*Microbiome	Complete	Soil microbial communities from wetlands in Washington, USA	Soil microbial communities from lacustrine wetlands, Lake Washington, Seattle, WA, USA - LW4_C1_Mid	DOE Joint Genome Institute (JGI)	3300061209	2741840948	4384885	2356833	48	0	507	1589044618	57.96	2737352200	99.84	4354360	99.3	30525	.7	3727	559	1194	5	1954	15	26798	0	0	0	2786708	63.55	1567652	35.75	0	0	2661807	60.7	0	0	2635972	60.11	600043	14	1081777	24.67	1016663	23.19	3337697	76.12	1825785	41.64	2528575	57.67	608307	13.87	3746053	85.43	0	0	0	0	0	0	0	4605	0	8101	3233	0	0	0	706	3883627	719.22	706	0	193.05	0	0	1404953	1404937	1404953	507192			Restricted		0	0	0	0	0	0	
3300056859	*Microbiome	Permanent Draft	Soil microbial communities from wetlands in Washington, USA	Soil microbial communities from lacustrine wetlands, Lake Washington, Seattle, WA, USA - LW2_C2_Mid	DOE Joint Genome Institute (JGI)	3300056859	605831085	1027974	581621	13	0	117	343102867	56.63	604368006	99.76	1020071	99.23	7903	.77	1359	154	414	2	784	5	6544	0	0	0	688029	66.93	332042	32.3	0	0	661931	64.39	0	0	629833	61.27	140551	14	267600	26.03	260194	25.31	759877	73.92	454602	44.22	565469	55.01	152019	14.79	868052	84.44	0	0	0	0	0	0	0	4543	0	6797	2841	0	0	0	145	4178145	185.86	174	145	63.58	0	0	1383459	1383425	1383459	507192			Restricted		199558654	58612229	29.37	29897055005	8781042561	14.49	
3300056874	*Microbiome	Permanent Draft	Soil microbial communities from wetlands in Washington, USA	Soil microbial communities from lacustrine wetlands, Lake Washington, Seattle, WA, USA - LW2_C2_Btm	DOE Joint Genome Institute (JGI)	3300056874	2540634364	4055662	2164308	44	0	571	1425918893	56.12	2536282239	99.83	4026253	99.27	29409	.73	3609	553	1137	5	1903	11	25800	0	0	0	2583482	63.7	1442771	35.57	0	0	2471681	60.94	0	0	2440159	60.17	564922	14	1007339	24.84	955655	23.56	3070598	75.71	1688879	41.64	2337374	57.63	570585	14.07	3455668	85.21	0	0	0	0	0	0	0	4595	0	8026	3264	0	0	0	698	3639877	709.64	698	0	203.89	0	0	1383460	1383427	1383460	507192			Restricted		478622064	233010024	48.68	71718218494	34914946613	13.74	
3300052920	*Microbiome	Permanent Draft	Soil microbial communities from wetlands in Washington, USA	Soil microbial communities from lacustrine wetlands, Lake Washington, Seattle, WA, USA - LW1_C4_Mid	DOE Joint Genome Institute (JGI)	3300052920	2160146191	3704196	2182795	28	0	350	1268431659	58.72	2156585241	99.84	3680401	99.36	23795	.64	3114	426	976	13	1678	21	20681	0	0	0	2351197	63.47	1329204	35.88	0	0	2240168	60.48	0	0	2187360	59.05	474121	13	928131	25.06	869037	23.46	2811364	75.9	1555138	41.98	2125263	57.37	521656	14.08	3158745	85.27	0	0	0	0	0	0	0	4602	0	8020	3213	0	0	0	568	3803074	585.95	568	0	168.97	0	0	1347454	1347444	1347454	507192			Restricted		457563950	222018600	48.52	68579945427	33276274216	15.4	
3300056620	*Microbiome	Permanent Draft	Soil microbial communities from wetlands in Washington, USA	Soil microbial communities from lacustrine wetlands, Lake Washington, Seattle, WA, USA - LW3_C2_Top	DOE Joint Genome Institute (JGI)	3300056620	1087181548	1916016	1128149	18	0	246	631204137	58.06	1084691831	99.77	1902738	99.31	13278	.69	2524	282	737	33	1437	35	10754	0	0	0	1266815	66.12	635923	33.19	0	0	1210199	63.16	0	0	1158736	60.48	255217	13	497125	25.95	482321	25.17	1420417	74.13	850273	44.38	1052465	54.93	278557	14.54	1624181	84.77	0	0	0	0	0	0	0	4586	0	7542	3099	0	0	0	307	3541307	323.11	307	0	105.3	0	0	1383470	1383447	1383470	507192			Restricted		377687522	111373785	29.49	56586598907	16686449335	15.35	
3300051208	*Microbiome	Permanent Draft	Soil microbial communities from wetlands in Washington, USA	Soil microbial communities from lacustrine wetlands, Lake Washington, Seattle, WA, USA - LW1_C3_Btm	DOE Joint Genome Institute (JGI)	3300051208	1034797860	1848761	1122192	10	0	120	632684680	61.14	1032748012	99.8	1837102	99.37	11659	.63	2037	234	636	9	1139	19	9622	0	0	0	1243470	67.26	593632	32.11	0	0	1183729	64.03	0	0	1132067	61.23	247841	13	500996	27.1	475600	25.73	1361502	73.64	844802	45.7	992300	53.67	281899	15.25	1555203	84.12	0	0	0	0	0	0	0	4580	0	7522	3104	0	0	0	277	3735732	309.54	303	277	86.18	0	0	1347452	1347440	1347452	507192			Restricted		335956732	113675554	33.84	50350523604	17036788132	16.46	
3300056595	*Microbiome	Permanent Draft	Soil microbial communities from wetlands in Washington, USA	Soil microbial communities from lacustrine wetlands, Lake Washington, Seattle, WA, USA - LW3_C3_Top	DOE Joint Genome Institute (JGI)	3300056595	1187380132	2028581	1156173	19	0	121	728008160	61.31	1185183164	99.81	2015729	99.37	12852	.63	2083	222	657	21	1142	41	10769	0	0	0	1365950	67.34	649779	32.03	0	0	1299507	64.06	0	0	1257808	62	284595	14	544097	26.82	522255	25.74	1493474	73.62	926646	45.68	1089083	53.69	305766	15.07	1709963	84.29	0	0	0	0	0	0	0	4562	0	7563	3132	0	0	0	296	4011419	337.5	325	296	85.35	0	0	1383473	1383453	1383473	507192			Restricted		339733358	121791632	35.85	50908977388	18250452284	15.37	
3300056861	*Microbiome	Permanent Draft	Soil microbial communities from wetlands in Washington, USA	Soil microbial communities from lacustrine wetlands, Lake Washington, Seattle, WA, USA - LW3_C1_Top	DOE Joint Genome Institute (JGI)	3300056861	1113087812	1952928	1142132	16	0	134	664276953	59.68	1110590244	99.78	1939725	99.32	13203	.68	2583	272	775	20	1474	42	10620	0	0	0	1298347	66.48	641378	32.84	0	0	1235409	63.26	0	0	1188541	60.86	261540	13	511108	26.17	495110	25.35	1444615	73.97	879240	45.02	1060485	54.3	285287	14.61	1654438	84.72	0	0	0	0	0	0	0	4585	0	7662	3144	0	0	0	242	4599536	327.32	320	242	93.34	0	0	1383467	1383441	1383467	507192			Restricted		389932848	114348770	29.33	58403138595	17126864527	15.39	
3300056860	*Microbiome	Permanent Draft	Soil microbial communities from wetlands in Washington, USA	Soil microbial communities from lacustrine wetlands, Lake Washington, Seattle, WA, USA - LW2_C3_Mid	DOE Joint Genome Institute (JGI)	3300056860	1472987768	2516694	1422919	14	0	195	894802115	60.75	1470171352	99.81	2500619	99.36	16075	.64	2726	351	834	22	1476	43	13349	0	0	0	1676641	66.62	823978	32.74	0	0	1592850	63.29	0	0	1547746	61.5	346243	14	661604	26.29	635875	25.27	1864744	74.09	1134833	45.09	1365786	54.27	369515	14.68	2131104	84.68	0	0	0	0	0	0	0	4584	0	7799	3226	0	0	0	390	3776891	404.68	390	0	104.29	0	0	1383462	1383431	1383462	507192			Restricted		408492116	148180327	36.27	61196365708	22198953484	15.07	
