"User Genome","Classification","FastANI Reference","FastANI Reference Radius","FastANI Taxonomy","FastANI ANI","FastANI Alignment Fraction","Closest Placement Reference","Closest Placement Taxonomy","Closest Placement ANI","Closest Placement Alignment Fraction","Classification Method","Note","Other Related References","MSA AA Percent","RED Value","Warnings"
"3300055390_1033__dereplicated_genomes","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Thiobacillaceae;g__UBA6918;s__","-","-","-","-","-","-","-","-","-","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_021847835.1, s__UBA6918 sp02184783...","90.69","0.94557","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300055390_1034__dereplicated_genomes","d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__JAFGIB01;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","90.63","0.83489","-"
"3300055390_1041__dereplicated_genomes","d__Bacteria;p__Fermentibacterota;c__Fermentibacteria;o__Fermentibacterales;f__Fermentibacteraceae;g__UBA5938;s__","-","-","-","-","-","GCA_002414865.1","d__Bacteria;p__Fermentibacterota;c__Fermentibacteria;o__Fermentibacterales;f__Fermentibacteraceae;g__UBA5938;s__UBA5938 sp002414865","77.85","0.307","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","87.71","0.85532","-"
"3300055390_1045__dereplicated_genomes","d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__MSB-5A5;f__;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","classification based on placement in class-level tree","-","91.14","0.61281","-"
"3300055390_1047__dereplicated_genomes","d__Bacteria;p__Eisenbacteria;c__RBG-16-71-46;o__RBG-16-71-46;f__;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","81.37","0.62407","-"
"3300055390_1048__dereplicated_genomes","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__MM2;s__","-","-","-","-","-","GCF_001645185.1","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__MM2;s__MM2 sp001645185","79.11","0.462","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","92.19","0.89189","-"
"3300055390_1051__dereplicated_genomes","d__Bacteria;p__Myxococcota;c__Polyangia;o__DRWM01;f__DRWM01;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","88.34","0.70968","-"
"3300055390_1052__dereplicated_genomes","d__Bacteria;p__Acidobacteriota;c__Polarisedimenticolia;o__Polarisedimenticolales;f__Polarisedimenticolaceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","88.2","0.76285","-"
"3300055390_1056__dereplicated_genomes","d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__RBG-16-66-30;g__RBG-16-66-30;s__","-","-","-","-","-","GCA_017883305.1","d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__RBG-16-66-30;g__RBG-16-66-30;s__RBG-16-66-30 sp017883305","82.8","0.61","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_017999365.1, s__RBG-16-66-30 sp012...","63.26","0.95522","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300055390_1057__dereplicated_genomes","d__Bacteria;p__Bacteroidota;c__UBA10030;o__UBA10030;f__SZUA-254;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","classification based on placement in class-level tree","-","85.96","0.81507","-"
"3300055390_1061__dereplicated_genomes","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__JAKEEH01;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","84.83","0.82323","-"
"3300055390_1062__dereplicated_genomes","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__","-","-","-","-","-","GCA_003520925.1","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__LD21 sp003520925","77.48","0.253","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","86.95","0.96097","-"
"3300055390_1063__dereplicated_genomes","d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__SG8-4;g__DTPU01;s__","-","-","-","-","-","GCA_018007255.1","d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__SG8-4;g__DTPU01;s__DTPU01 sp018007255","82.09","0.553","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","67.43","0.95776","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300055390_1064__dereplicated_genomes","d__Bacteria;p__Bacteroidota;c__UBA10030;o__UBA10030;f__UBA6906;g__UBA6906;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","91.86","0.87864","-"
"3300055390_1065__dereplicated_genomes","d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA2174_A;g__SpSt-501;s__","-","-","-","-","-","GCA_016219005.1","d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA2174_A;g__SpSt-501;s__SpSt-501 sp016219005","81.73","0.563","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_020725555.1, s__SpSt-501 sp0207255...","81.13","0.90673","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
