taxon_oid	Domain	Sequencing Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID	GOLD Analysis Project ID	Genome Size  * assembled	Gene Count  * assembled
3300052920	*Microbiome	Permanent Draft	Soil microbial communities from wetlands in Washington, USA	Soil microbial communities from lacustrine wetlands, Lake Washington, Seattle, WA, USA - LW1_C4_Mid	DOE Joint Genome Institute  (JGI)	3300052920	Ga0526691	2160146191	3704196
3300056875	*Microbiome	Permanent Draft	Soil microbial communities from wetlands in Washington, USA	Soil microbial communities from lacustrine wetlands, Lake Washington, Seattle, WA, USA - LW2_C4_Mid	DOE Joint Genome Institute  (JGI)	3300056875	Ga0566179	1102775351	1900477
3300060275	*Microbiome	Permanent Draft	Soil microbial communities from wetlands in Washington, USA	Soil microbial communities from lacustrine wetlands, Lake Washington, Seattle, WA, USA - LW4_C2_Top	DOE Joint Genome Institute  (JGI)	3300060275	Ga0590170	1342930758	2400279
3300061215	*Microbiome	Permanent Draft	Soil microbial communities from wetlands in Washington, USA	Soil microbial communities from lacustrine wetlands, Lake Washington, Seattle, WA, USA - LW4_C3_Mid	DOE Joint Genome Institute  (JGI)	3300061215	Ga0590174	2281410668	3814654
3300056618	*Microbiome	Permanent Draft	Soil microbial communities from wetlands in Washington, USA	Soil microbial communities from lacustrine wetlands, Lake Washington, Seattle, WA, USA - LW3_C3_Btm	DOE Joint Genome Institute  (JGI)	3300056618	Ga0566189	1819582619	2869235
3300060272	*Microbiome	Permanent Draft	Soil microbial communities from wetlands in Washington, USA	Soil microbial communities from lacustrine wetlands, Lake Washington, Seattle, WA, USA - LW4_C2_Btm	DOE Joint Genome Institute  (JGI)	3300060272	Ga0590172	782213235	1392776
3300056612	*Microbiome	Permanent Draft	Soil microbial communities from wetlands in Washington, USA	Soil microbial communities from lacustrine wetlands, Lake Washington, Seattle, WA, USA - LW3_C3_Mid	DOE Joint Genome Institute  (JGI)	3300056612	Ga0566188	1314222188	2295310
3300056619	*Microbiome	Permanent Draft	Soil microbial communities from wetlands in Washington, USA	Soil microbial communities from lacustrine wetlands, Lake Washington, Seattle, WA, USA - LW3_C2_Mid	DOE Joint Genome Institute  (JGI)	3300056619	Ga0566185	1887275874	3219121
3300061210	*Microbiome	Permanent Draft	Soil microbial communities from wetlands in Washington, USA	Soil microbial communities from lacustrine wetlands, Lake Washington, Seattle, WA, USA - LW4_C3_Top	DOE Joint Genome Institute  (JGI)	3300061210	Ga0590173	1571320889	2713218
3300052722	*Microbiome	Permanent Draft	Soil microbial communities from wetlands in Washington, USA	Soil microbial communities from lacustrine wetlands, Lake Washington, Seattle, WA, USA - LW1_C4_Btm	DOE Joint Genome Institute  (JGI)	3300052722	Ga0526692	2034275029	3400214
3300060290	*Microbiome	Permanent Draft	Soil microbial communities from wetlands in Washington, USA	Soil microbial communities from lacustrine wetlands, Lake Washington, Seattle, WA, USA - LW2_C4_Btm	DOE Joint Genome Institute  (JGI)	3300060290	Ga0566180	1186441667	2062344
